word,total_freq,doc_freq,doc_ratio,AS_freq,AR_freq,RMJ_freq,AA_freq
strategy,187,140,8.4,37,20,80,50
culture,185,126,7.6,73,27,64,21
potential,185,159,9.5,68,25,63,29
principle,183,125,7.5,68,25,74,16
collect,183,141,8.5,45,20,67,51
report,183,155,9.3,53,35,44,51
activity,182,143,8.6,59,38,43,42
good,182,153,9.2,37,21,84,40
century,181,140,8.4,96,48,8,29
highlight,181,155,9.3,55,21,89,16
american,181,113,6.8,48,16,5,112
large,180,153,9.2,48,27,51,54
seek,180,148,8.9,52,29,61,38
limitation,180,155,9.3,9,7,152,12
organisation,179,88,5.3,22,0,157,0
increase,177,147,8.8,49,21,73,34
country,176,105,6.3,53,12,97,14
manager,175,108,6.5,12,10,136,17
nature,174,150,9.0,63,46,39,26
factor,174,115,6.9,49,11,97,17
international,174,128,7.7,74,32,51,17
involve,173,151,9.1,54,26,76,17
canada,172,114,6.8,38,109,14,11
problem,172,125,7.5,44,16,69,43
sector,172,104,6.2,28,7,132,5
past,171,138,8.3,89,40,13,29
care,170,72,4.3,60,42,61,7
significant,169,139,8.3,46,29,72,22
human,169,99,5.9,77,38,36,18
discussion,169,141,8.5,53,31,50,35
require,169,144,8.6,48,17,71,33
contribute,169,148,8.9,51,26,64,28
political,167,108,6.5,81,28,21,37
legal,167,108,6.5,56,31,60,20
reveal,166,152,9.1,41,21,76,28
propose,166,132,7.9,46,25,65,30
set,164,138,8.3,45,17,74,28
area,161,135,8.1,28,19,79,35
give,160,146,8.8,52,22,69,17
key,160,144,8.6,40,21,73,26
documentation,160,107,6.4,66,21,39,34
improve,160,128,7.7,25,11,93,31
analyze,159,143,8.6,48,17,53,41
provenance,159,80,4.8,103,30,14,12
life,159,133,8.0,63,50,23,23
governance,159,64,3.8,12,8,138,1
indigenous,158,52,3.1,82,48,8,20
help,157,142,8.5,41,29,59,28
regard,156,123,7.4,51,21,62,22
institutional,156,117,7.0,49,31,25,51
lack,156,120,7.2,36,16,81,23
application,155,129,7.7,45,21,58,31
concern,155,137,8.2,53,37,41,24
view,154,126,7.6,45,29,59,21
effort,153,131,7.9,51,32,32,38
various,153,134,8.0,51,29,52,21
web,153,74,4.4,44,31,35,43
benefit,153,124,7.4,38,15,75,25
investigate,152,142,8.5,58,23,55,16
particular,152,136,8.2,60,39,42,11
traditional,150,119,7.1,47,31,34,38
online,150,90,5.4,37,32,22,59
south,150,63,3.8,37,5,98,10
become,149,131,7.9,62,41,26,20
more,149,130,7.8,34,20,44,51
example,148,126,7.6,61,31,46,10
power,148,99,5.9,80,33,10,25
function,148,123,7.4,52,35,48,13
conclude,146,145,8.7,51,30,31,34
identity,146,101,6.1,70,37,13,26
heritage,145,101,6.1,70,24,18,33
implement,145,106,6.4,16,13,89,27
trust,145,60,3.6,61,15,63,6
share,144,113,6.8,35,18,60,31
africa,144,56,3.4,34,2,107,1
qualitative,144,127,7.6,37,2,96,9
accountability,143,81,4.9,40,20,73,10
subject,143,120,7.2,35,22,48,38
staff,143,97,5.8,16,13,73,41
long,141,114,6.8,41,23,54,23
requirement,141,103,6.2,27,13,88,13
academic,140,112,6.7,55,13,39,33
recent,140,132,7.9,45,37,26,32
continue,140,120,7.2,43,30,26,41
lead,139,125,7.5,54,23,40,22
point,139,122,7.3,56,26,31,26
ensure,138,123,7.4,33,14,76,15
control,138,99,5.9,37,16,64,21
risk,137,76,4.6,31,10,81,15
specific,137,128,7.7,51,14,39,33
file,136,63,3.8,46,24,47,19
structure,135,107,6.4,53,12,50,20
importance,135,116,7.0,33,19,59,24
type,134,114,6.8,34,21,45,34
original,134,100,6.0,43,39,35,17
emerge,131,121,7.3,41,32,41,17
serve,131,111,6.7,46,20,37,28
own,131,115,6.9,44,38,23,26
agency,131,86,5.2,35,15,68,13
keep,130,98,5.9,35,30,54,11
local,128,80,4.8,41,23,42,22
decision,128,100,6.0,26,40,41,21
canadian,128,76,4.6,19,87,19,3
data,128,83,5.0,24,9,86,9
aspect,127,111,6.7,34,25,49,19
affect,127,108,6.5,42,26,41,18
emerald,127,127,7.6,0,0,127,0
reflect,126,116,7.0,33,42,30,21
broad,126,117,7.0,46,18,27,35
space,126,84,5.0,49,47,17,13
private,126,80,4.8,40,21,56,9
theoretical,125,105,6.3,41,39,35,10
further,125,110,6.6,28,19,52,26
opportunity,125,106,6.4,37,15,47,26
general,124,109,6.5,34,17,54,19
face,124,104,6.2,29,18,48,29
colonial,124,55,3.3,87,20,2,15
primary,124,85,5.1,14,14,32,64
call,123,111,6.7,40,35,15,33
assess,123,100,6.0,26,12,58,27
aid,122,68,4.1,25,14,14,69
insight,121,107,6.4,31,18,54,18
law,121,77,4.6,30,20,53,18
idea,120,100,6.0,39,53,7,21
training,120,68,4.1,16,6,79,19
relation,119,101,6.1,55,25,28,11
relevant,119,104,6.2,37,13,58,11
build,119,108,6.5,45,30,22,22
number,118,101,6.1,41,17,45,15
initiative,118,86,5.2,31,8,56,23
hold,118,109,6.5,37,34,28,19
justice,117,61,3.7,56,20,25,16
member,117,86,5.2,35,21,29,32
represent,116,100,6.0,45,21,23,27
look,116,107,6.4,28,29,38,21
shift,115,94,5.6,44,24,24,23
body,115,79,4.7,21,27,55,12
remain,115,102,6.1,44,23,23,25
discipline,114,80,4.8,45,16,36,17
continuum,114,53,3.2,67,14,31,2
inform,114,92,5.5,42,25,26,21
wide,114,104,6.2,36,13,40,25
administration,113,83,5.0,26,21,52,14
quality,113,73,4.4,20,10,70,13
discourse,112,82,4.9,45,26,24,17
possible,112,102,6.1,29,22,45,16
high,112,86,5.2,20,3,56,33
participant,111,80,4.8,41,16,34,20
action,111,91,5.5,29,26,43,13
major,111,97,5.8,47,16,26,22
capture,111,86,5.2,25,15,53,18
authority,110,77,4.6,35,21,46,8
