word,total_freq,doc_freq,doc_ratio,AS_freq,AR_freq,RMJ_freq,AA_freq
suffer,7,7,0.4,3,2,1,1
like,7,5,0.3,3,3,1,0
contextualization,7,7,0.4,2,2,0,3
conscious,7,7,0.4,3,3,0,1
fix,7,6,0.4,1,5,1,0
later,7,6,0.4,3,2,1,1
handwritten,7,6,0.4,5,0,0,2
dictate,7,6,0.4,2,1,4,0
player,7,7,0.4,2,2,2,1
doughty,7,3,0.2,1,6,0,0
concerned,7,7,0.4,2,2,2,1
adherence,7,7,0.4,2,0,4,1
khmer,7,3,0.2,6,1,0,0
rouge,7,3,0.2,6,1,0,0
contemplate,7,6,0.4,4,1,0,2
intentional,7,7,0.4,4,2,1,0
performative,7,6,0.4,5,1,0,1
bound,7,4,0.2,1,1,5,0
suffering,7,7,0.4,6,1,0,0
election,7,5,0.3,4,1,0,2
check,7,7,0.4,3,0,4,0
deepen,7,7,0.4,3,1,1,2
omission,7,5,0.3,1,1,5,0
org,7,5,0.3,4,0,0,3
harness,7,7,0.4,3,1,3,0
victorian,7,4,0.2,6,0,1,0
known,7,7,0.4,3,1,2,1
contestation,7,5,0.3,6,1,0,0
collapse,7,7,0.4,1,3,1,2
juridical,7,7,0.4,2,5,0,0
disruptive,7,7,0.4,2,1,4,0
arena,7,7,0.4,3,0,3,1
colonization,7,7,0.4,4,3,0,0
multiplicity,7,7,0.4,3,4,0,0
centric,7,7,0.4,1,1,4,1
statutory,7,6,0.4,1,0,6,0
mediation,7,7,0.4,3,3,1,0
quarter,7,7,0.4,1,3,1,2
russian,7,4,0.2,5,0,0,2
settle,7,7,0.4,2,4,0,1
interoperable,7,7,0.4,3,1,2,1
pivotal,7,7,0.4,3,1,0,3
join,7,7,0.4,1,2,0,4
virginia,7,4,0.2,1,0,0,6
migrant,7,5,0.3,5,0,2,0
pro,7,5,0.3,2,3,2,0
storytelle,7,7,0.4,3,2,0,2
justification,7,7,0.4,2,1,2,2
lgbt,7,3,0.2,4,3,0,0
none,7,7,0.4,1,0,4,2
melbourne,7,7,0.4,4,1,2,0
adult,7,5,0.3,6,0,1,0
virtue,7,5,0.3,2,0,4,1
motion,7,6,0.4,1,2,2,2
hardware,7,7,0.4,1,4,2,0
algorithm,7,3,0.2,4,0,3,0
reject,7,7,0.4,4,2,1,0
favour,7,7,0.4,2,2,3,0
hide,7,7,0.4,2,2,0,3
ambiguous,7,7,0.4,3,1,2,1
metaphorical,7,5,0.3,2,5,0,0
ancient,7,7,0.4,4,3,0,0
fiction,7,3,0.2,2,0,0,5
gulf,7,5,0.3,3,2,0,2
attend,7,7,0.4,2,3,1,1
aeri,7,3,0.2,6,0,0,1
handling,7,7,0.4,1,2,3,1
invisible,7,7,0.4,4,1,2,0
acknowledgement,7,6,0.4,4,2,0,1
donate,7,6,0.4,2,3,0,2
summer,7,7,0.4,1,1,1,4
monitor,7,7,0.4,1,0,5,1
challenging,7,7,0.4,2,0,4,1
obsolete,7,7,0.4,1,1,2,3
wenjian,7,1,0.1,7,0,0,0
poem,7,3,0.2,4,0,3,0
zine,7,1,0.1,7,0,0,0
secretary,7,6,0.4,1,1,3,2
visualisation,7,4,0.2,5,0,2,0
color,7,6,0.4,1,0,0,6
declassification,7,4,0.2,3,1,0,3
continuous,7,7,0.4,1,2,4,0
persona,7,2,0.1,7,0,0,0
percent,7,7,0.4,1,1,2,3
square,7,5,0.3,2,2,2,1
advent,7,7,0.4,1,2,0,4
ukraine,7,3,0.2,3,0,2,2
historiography,7,5,0.3,2,1,0,4
suitability,7,7,0.4,1,1,5,0
washington,7,7,0.4,1,2,0,4
academia,7,5,0.3,3,1,2,1
cold,7,4,0.2,1,6,0,0
spatial,7,6,0.4,5,2,0,0
puerto,7,2,0.1,5,0,0,2
equity,7,7,0.4,1,0,1,5
chain,7,6,0.4,1,1,4,1
duplicate,7,6,0.4,2,0,3,2
narrator,7,6,0.4,2,3,0,2
recount,7,7,0.4,1,3,0,3
unclear,7,7,0.4,1,0,1,5
medicine,7,6,0.4,1,0,1,5
enactment,7,5,0.3,2,2,2,1
surveying,7,3,0.2,5,0,2,0
abu,7,3,0.2,2,0,0,5
shortage,7,6,0.4,1,0,4,2
soldier,7,2,0.1,1,0,0,6
tweet,7,2,0.1,1,0,0,6
enforcement,7,5,0.3,2,1,4,0
correlate,7,6,0.4,1,3,0,3
convention,7,7,0.4,1,3,1,2
legitimacy,7,5,0.3,2,0,0,5
hussein,7,3,0.2,0,3,0,4
anfal,7,3,0.2,0,6,0,1
colorado,7,4,0.2,0,1,0,6
compatible,7,5,0.3,0,1,6,0
photographer,7,5,0.3,0,6,0,1
civic,7,5,0.3,0,4,1,2
reassess,7,7,0.4,0,4,1,2
delay,7,5,0.3,0,1,6,0
grid,7,5,0.3,0,2,1,4
arma,7,7,0.4,0,1,4,2
devote,7,7,0.4,0,2,0,5
concrete,7,6,0.4,0,1,3,3
desirable,7,7,0.4,0,1,5,1
april,7,7,0.4,0,2,1,4
disk,7,2,0.1,0,6,0,1
matrix,7,4,0.2,0,4,0,3
organizing,7,7,0.4,0,3,1,3
friendly,7,7,0.4,0,2,4,1
meissner,7,5,0.3,0,2,0,5
headquarters,7,5,0.3,0,3,4,0
execute,7,7,0.4,0,1,3,3
patent,7,1,0.1,0,7,0,0
legislator,7,4,0.2,0,1,2,4
nurse,7,3,0.2,0,1,6,0
minimize,7,7,0.4,0,1,6,0
coordinator,7,3,0.2,0,1,6,0
driver,7,7,0.4,0,0,7,0
prefer,7,7,0.4,0,0,6,1
confident,7,5,0.3,0,0,5,2
buy,7,6,0.4,0,0,4,3
attain,7,7,0.4,0,0,5,2
fcs,7,1,0.1,0,0,7,0
wicked,7,3,0.2,0,0,4,3
naz,7,2,0.1,0,0,7,0
ram,7,1,0.1,0,0,7,0
cobit,7,2,0.1,0,0,7,0
nyamira,7,1,0.1,0,0,7,0
triangulate,7,7,0.4,0,0,7,0
pkr,7,1,0.1,0,0,7,0
contractor,7,6,0.4,0,0,5,2
algorithmic,7,4,0.2,0,0,6,1
defensible,7,4,0.2,0,0,6,1
dlt,7,1,0.1,0,0,7,0
eswatini,7,1,0.1,0,0,7,0
moocs,7,1,0.1,0,0,7,0
semistructured,7,7,0.4,0,0,2,5
airi,7,2,0.1,0,0,7,0
lis,7,5,0.3,0,0,1,6
tanzanian,7,4,0.2,0,0,7,0
foss,7,1,0.1,0,0,7,0
nitrate,7,2,0.1,0,0,0,7
lgbtq,7,2,0.1,0,0,0,7
gpas,7,3,0.2,0,0,0,7
wikipedia,7,1,0.1,0,0,0,7
reciprocal,6,5,0.3,3,3,0,0
stability,6,5,0.3,1,3,1,1
pittsburgh,6,5,0.3,1,3,0,2
upper,6,6,0.4,1,0,2,3
psychological,6,6,0.4,3,1,0,2
speculation,6,5,0.3,3,2,1,0
elevate,6,6,0.4,1,0,4,1
embodiment,6,4,0.2,2,1,0,3
bury,6,6,0.4,2,3,0,1
male,6,2,0.1,1,5,0,0
female,6,6,0.4,1,2,0,3
liberal,6,5,0.3,2,3,1,0
contradiction,6,5,0.3,2,2,1,1
temporality,6,5,0.3,3,3,0,0
posterity,6,6,0.4,3,0,1,2
artefact,6,6,0.4,4,1,1,0
conceptualise,6,6,0.4,3,0,3,0
rigorous,6,6,0.4,3,1,1,1
occupational,6,5,0.3,5,0,1,0
visitor,6,4,0.2,3,1,0,2
leisure,6,4,0.2,3,0,3,0
introductory,6,4,0.2,3,3,0,0
focusse,6,5,0.3,3,0,3,0
culminate,6,5,0.3,5,0,0,1
definitive,6,5,0.3,1,3,2,0
managerial,6,6,0.4,1,0,5,0
lock,6,6,0.4,3,0,1,2
creativity,6,6,0.4,4,1,0,1
engineer,6,6,0.4,2,1,2,1
fishery,6,2,0.1,6,0,0,0
manipulation,6,6,0.4,1,2,3,0
delineate,6,6,0.4,3,1,0,2
india,6,4,0.2,5,1,0,0
precede,6,6,0.4,3,0,2,1
judiciary,6,6,0.4,2,1,3,0
centralization,6,4,0.2,4,1,0,1
dominate,6,6,0.4,1,2,1,2
side,6,6,0.4,4,0,0,2
philippine,6,3,0.2,5,0,1,0
possession,6,5,0.3,3,2,0,1
tech,6,4,0.2,5,1,0,0
universe,6,6,0.4,2,2,0,2
israeli,6,3,0.2,6,0,0,0
resistant,6,4,0.2,1,1,4,0
genealogy,6,6,0.4,5,1,0,0
communist,6,4,0.2,5,0,0,1
ready,6,6,0.4,3,1,2,0
configure,6,6,0.4,3,1,2,0
abstraction,6,5,0.3,1,1,4,0
couple,6,6,0.4,1,2,2,1
accrue,6,6,0.4,2,0,4,0
afford,6,5,0.3,4,1,1,0
ubiquitous,6,6,0.4,4,1,0,1
envision,6,6,0.4,2,2,1,1
postmodernist,6,6,0.4,3,1,0,2
inscription,6,6,0.4,3,2,0,1
epistemic,6,4,0.2,4,2,0,0
border,6,5,0.3,5,1,0,0
classical,6,5,0.3,5,0,1,0
lense,6,6,0.4,4,1,0,1
commonwealth,6,6,0.4,4,0,1,1
provoke,6,6,0.4,2,2,1,1
mexican,6,3,0.2,6,0,0,0
query,6,5,0.3,2,0,0,4
hundred,6,5,0.3,4,1,0,1
impetus,6,6,0.4,6,0,0,0
week,6,4,0.2,1,2,1,2
transmit,6,6,0.4,3,0,1,2
reformation,6,2,0.1,2,4,0,0
successor,6,6,0.4,3,2,1,0
counterpart,6,6,0.4,3,0,1,2
paperwork,6,5,0.3,2,1,3,0
confession,6,3,0.2,2,1,0,3
imaging,6,4,0.2,1,3,2,0
dominion,6,6,0.4,2,4,0,0
detection,6,4,0.2,4,0,1,1
wave,6,5,0.3,2,3,0,1
ngo,6,2,0.1,1,5,0,0
door,6,5,0.3,4,0,1,1
controversial,6,6,0.4,2,1,3,0
stance,6,6,0.4,2,1,2,1
sociological,6,6,0.4,4,1,0,1
fate,6,6,0.4,3,0,0,3
japanese,6,4,0.2,3,2,0,1
jews,6,3,0.2,6,0,0,0
november,6,6,0.4,2,2,1,1
racism,6,6,0.4,3,1,0,2
willing,6,6,0.4,2,3,0,1
sort,6,6,0.4,2,1,3,0
heterogeneous,6,4,0.2,5,0,1,0
hidden,6,6,0.4,3,2,0,1
consumption,6,6,0.4,4,2,0,0
sketch,6,6,0.4,2,2,0,2
credibility,6,3,0.2,4,0,1,1
phrase,6,5,0.3,1,1,1,3
ecology,6,4,0.2,1,4,1,0
assistance,6,6,0.4,1,2,2,1
governor,6,5,0.3,1,2,0,3
concert,6,5,0.3,2,0,0,4
spiritual,6,5,0.3,5,1,0,0
cooperative,6,4,0.2,3,0,0,3
founding,6,6,0.4,4,0,0,2
inspiration,6,6,0.4,3,1,0,2
passage,6,6,0.4,1,1,2,2
citation,6,6,0.4,2,0,2,2
spss,6,6,0.4,3,0,3,0
reflexivity,6,6,0.4,5,0,0,1
proceeding,6,5,0.3,4,2,0,0
proceed,6,6,0.4,1,3,1,1
agricultural,6,3,0.2,3,2,1,0
bosnia,6,2,0.1,6,0,0,0
problematize,6,6,0.4,4,1,0,1
frequent,6,6,0.4,1,2,1,2
cybernetic,6,3,0.2,2,4,0,0
1950,6,6,0.4,2,2,0,2
networking,6,5,0.3,1,4,0,1
replace,6,6,0.4,2,1,3,0
marc,6,2,0.1,2,0,0,4
impediment,6,4,0.2,2,0,3,1
milestone,6,6,0.4,2,2,1,1
interconnect,6,6,0.4,3,1,2,0
archaeology,6,4,0.2,5,1,0,0
vendor,6,5,0.3,1,0,5,0
overarching,6,6,0.4,3,0,1,2
minister,6,4,0.2,2,0,4,0
temperature,6,5,0.3,3,0,2,1
humidity,6,4,0.2,3,0,1,2
extraordinary,6,6,0.4,1,4,0,1
worthy,6,6,0.4,2,0,3,1
pervasive,6,6,0.4,1,2,1,2
communal,6,5,0.3,4,2,0,0
litigation,6,5,0.3,1,2,2,1
decolonise,6,5,0.3,6,0,0,0
replevin,6,1,0.1,6,0,0,0
reaffirm,6,6,0.4,2,2,1,1
classified,6,4,0.2,4,2,0,0
combat,6,6,0.4,1,2,3,0
delve,6,6,0.4,3,1,0,2
subjective,6,6,0.4,1,2,2,1
unusual,6,6,0.4,2,1,0,3
decolonisation,6,3,0.2,5,0,1,0
saharan,6,5,0.3,1,0,5,0
repatriation,6,3,0.2,5,1,0,0
reproduce,6,5,0.3,4,2,0,0
characterization,6,6,0.4,2,1,1,2
upheaval,6,6,0.4,2,1,1,2
anxiety,6,5,0.3,1,2,2,1
extant,6,6,0.4,1,1,4,0
amplify,6,5,0.3,5,0,1,0
snapshot,6,6,0.4,2,1,3,0
margin,6,5,0.3,2,4,0,0
fragmented,6,6,0.4,3,0,2,1
forefront,6,6,0.4,3,2,0,1
apis,6,3,0.2,5,0,0,1
lecture,6,6,0.4,1,3,0,2
rtbf,6,2,0.1,3,0,0,3
unprecedented,6,6,0.4,2,3,0,1
positioning,6,6,0.4,2,3,0,1
contract,6,4,0.2,2,0,4,0
trouble,6,6,0.4,2,2,0,2
plurality,6,6,0.4,3,2,1,0
hui,6,1,0.1,6,0,0,0
classic,6,5,0.3,2,1,2,1
kingston,6,6,0.4,1,4,1,0
emotion,6,6,0.4,2,4,0,0
leaf,6,1,0.1,6,0,0,0
palace,6,2,0.1,6,0,0,0
deterioration,6,4,0.2,4,1,0,1
feeling,6,5,0.3,1,2,1,2
ordinary,6,6,0.4,1,1,2,2
speed,6,5,0.3,3,1,1,1
frank,6,4,0.2,4,0,1,1
regular,6,5,0.3,2,1,2,1
ethos,6,5,0.3,3,2,0,1
stereotype,6,3,0.2,1,4,0,1
mitigation,6,2,0.1,3,0,3,0
multidisciplinary,6,6,0.4,1,0,4,1
emergency,6,5,0.3,1,2,1,2
shelter,6,3,0.2,1,5,0,0
invasion,6,4,0.2,1,3,0,2
ecological,6,3,0.2,6,0,0,0
blur,6,5,0.3,2,1,2,1
scrutinize,6,5,0.3,2,1,2,1
die,6,5,0.3,2,3,0,1
palawa,6,1,0.1,6,0,0,0
tailor,6,6,0.4,2,0,3,1
ephemera,6,2,0.1,1,0,0,5
revenue,6,6,0.4,2,2,2,0
rum,6,1,0.1,6,0,0,0
refine,6,6,0.4,2,1,2,1
boom,6,5,0.3,1,0,0,5
dispersion,6,3,0.2,2,0,0,4
transferable,6,6,0.4,1,0,3,2
affirm,6,5,0.3,1,2,0,3
gaza,6,2,0.1,5,1,0,0
palestine,6,2,0.1,4,2,0,0
exciting,6,6,0.4,1,2,1,2
hour,6,6,0.4,1,1,0,4
marginalization,6,4,0.2,4,2,0,0
oman,6,1,0.1,6,0,0,0
hamilton,6,3,0.2,1,1,0,4
deserve,6,6,0.4,1,4,1,0
focused,6,6,0.4,0,2,3,1
heavy,6,5,0.3,0,4,1,1
restore,6,5,0.3,0,4,0,2
burden,6,5,0.3,0,2,3,1
feasible,6,6,0.4,0,1,1,4
allocate,6,5,0.3,0,1,4,1
dissertation,6,6,0.4,0,1,5,0
lamb,6,2,0.1,0,5,0,1
predecessor,6,6,0.4,0,2,2,2
immigrant,6,4,0.2,0,4,0,2
servant,6,5,0.3,0,4,2,0
widen,6,6,0.4,0,2,2,2
renew,6,6,0.4,0,2,1,3
affiliation,6,3,0.2,0,1,0,5
fraud,6,2,0.1,0,1,5,0
william,6,6,0.4,0,2,0,4
speculate,6,6,0.4,0,4,0,2
portrayal,6,5,0.3,0,2,0,4
pornography,6,2,0.1,0,3,0,3
elizabeth,6,6,0.4,0,3,0,3
arendt,6,1,0.1,0,6,0,0
departmental,6,6,0.4,0,1,2,3
romance,6,1,0.1,0,6,0,0
clinical,6,6,0.4,0,1,5,0
disease,6,2,0.1,0,5,0,1
lgbtq2,6,1,0.1,0,6,0,0
sectional,6,5,0.3,0,1,5,0
technologist,6,4,0.2,0,1,3,2
withhold,6,4,0.2,0,1,5,0
marketing,6,4,0.2,0,0,2,4
benchmark,6,5,0.3,0,0,3,3
gauge,6,6,0.4,0,0,1,5
nhs,6,3,0.2,0,0,6,0
sähke,6,1,0.1,0,0,6,0
layered,6,5,0.3,0,0,4,2
moreq2010,6,1,0.1,0,0,6,0
dna,6,1,0.1,0,0,6,0
ecm3,6,1,0.1,0,0,6,0
tqm,6,1,0.1,0,0,6,0
procuring,6,2,0.1,0,0,6,0
motor,6,1,0.1,0,0,6,0
par,6,2,0.1,0,0,6,0
phrs,6,1,0.1,0,0,6,0
praad,6,2,0.1,0,0,6,0
bibliometric,6,2,0.1,0,0,5,1
digitalization,6,4,0.2,0,0,6,0
xai,6,1,0.1,0,0,6,0
ump,6,1,0.1,0,0,6,0
infonomic,6,1,0.1,0,0,6,0
assassination,6,1,0.1,0,0,6,0
jfk,6,1,0.1,0,0,6,0
polytechnic,6,2,0.1,0,0,5,1
workaround,6,1,0.1,0,0,6,0
underserve,6,5,0.3,0,0,1,5
genealogist,6,3,0.2,0,0,0,6
license,6,3,0.2,0,0,0,6
leo,6,1,0.1,0,0,0,6
dac,6,4,0.2,0,0,0,6
armstrong,6,1,0.1,0,0,0,6
monk,6,1,0.1,0,0,0,6
saada,6,1,0.1,0,0,0,6
pinkett,6,2,0.1,0,0,0,6
mystique,6,1,0.1,0,0,0,6
morocco,6,1,0.1,0,0,0,6
remark,5,5,0.3,2,0,3,0
roll,5,4,0.2,1,0,4,0
17th,5,5,0.3,3,2,0,0
notable,5,5,0.3,1,3,1,0
overhaul,5,4,0.2,2,0,3,0
specificity,5,4,0.2,3,1,0,1
acceptable,5,5,0.3,1,1,3,0
postcustodial,5,4,0.2,1,4,0,0
industrial,5,4,0.2,2,0,3,0
ambiguity,5,5,0.3,1,3,0,1
indie,5,5,0.3,4,0,0,1
secrecy,5,5,0.3,3,0,2,0
understandable,5,5,0.3,4,0,1,0
guest,5,5,0.3,3,2,0,0
objectivity,5,5,0.3,2,1,0,2
hilary,5,5,0.3,1,2,0,2
harris,5,5,0.3,3,2,0,0
extreme,5,5,0.3,2,0,1,2
exposure,5,5,0.3,3,1,1,0
opposition,5,4,0.2,1,3,0,1
modernist,5,5,0.3,3,2,0,0
interplay,5,5,0.3,3,1,1,0
impartial,5,5,0.3,2,0,3,0
continuation,5,5,0.3,3,0,1,1
opposite,5,5,0.3,1,0,4,0
hermeneutic,5,3,0.2,4,0,1,0
colour,5,5,0.3,2,3,0,0
recordsmanagement,5,4,0.2,5,0,0,0
sum,5,5,0.3,3,0,2,0
quo,5,5,0.3,3,0,1,1
interpares,5,4,0.2,3,1,1,0
evaluator,5,4,0.2,4,1,0,0
terry,5,5,0.3,2,1,1,1
cook,5,5,0.3,2,1,1,1
allocation,5,5,0.3,1,0,4,0
inherit,5,4,0.2,3,0,1,1
anderson,5,5,0.3,1,2,0,2
frontier,5,4,0.2,2,0,2,1
october,5,5,0.3,2,1,0,2
voc,5,1,0.1,5,0,0,0
eic,5,1,0.1,5,0,0,0
euro,5,5,0.3,4,0,0,1
commerce,5,5,0.3,2,2,1,0
papal,5,3,0.2,1,2,0,2
vancouver,5,5,0.3,2,3,0,0
leland,5,2,0.1,4,0,0,1
intertwine,5,5,0.3,1,2,1,1
domination,5,4,0.2,2,3,0,0
optimal,5,3,0.2,4,0,1,0
coursework,5,3,0.2,2,0,0,3
stream,5,4,0.2,2,3,0,0
thesaurus,5,1,0.1,5,0,0,0
insurance,5,4,0.2,1,2,1,1
successive,5,5,0.3,4,0,0,1
ruler,5,5,0.3,4,0,0,1
admit,5,3,0.2,1,3,0,1
reception,5,5,0.3,3,1,0,1
graphic,5,5,0.3,3,1,1,0
nazi,5,5,0.3,5,0,0,0
occupation,5,5,0.3,4,0,0,1
ally,5,5,0.3,2,1,2,0
compel,5,5,0.3,2,1,2,0
presume,5,5,0.3,2,0,2,1
exemption,5,5,0.3,1,1,3,0
converge,5,5,0.3,2,0,2,1
salient,5,4,0.2,1,3,1,0
jesuit,5,2,0.1,5,0,0,0
inscribe,5,5,0.3,3,2,0,0
complication,5,5,0.3,1,1,1,2
synergy,5,5,0.3,2,0,3,0
flickr,5,2,0.1,4,0,0,1
pathway,5,5,0.3,3,0,1,1
progression,5,5,0.3,2,2,1,0
gathering,5,5,0.3,2,1,2,0
thinker,5,5,0.3,1,4,0,0
assemblage,5,3,0.2,4,1,0,0
citizenship,5,4,0.2,3,0,0,2
exemplar,5,5,0.3,5,0,0,0
being,5,4,0.2,4,0,1,0
limpopo,5,3,0.2,1,0,4,0
envisage,5,5,0.3,3,1,1,0
transnational,5,5,0.3,3,2,0,0
multinational,5,2,0.1,5,0,0,0
jacques,5,5,0.3,3,2,0,0
custodianship,5,4,0.2,1,1,0,3
leste,5,2,0.1,5,0,0,0
lifespan,5,5,0.3,2,1,1,1
islands,5,3,0.2,2,0,0,3
hard,5,5,0.3,2,1,2,0
adaptive,5,4,0.2,3,0,2,0
theology,5,3,0.2,2,3,0,0
swiss,5,5,0.3,3,0,2,0
attribution,5,4,0.2,3,1,1,0
centralize,5,5,0.3,2,0,2,1
strict,5,5,0.3,3,2,0,0
sixteenth,5,5,0.3,3,0,1,1
unexpected,5,5,0.3,1,1,1,2
nongovernmental,5,4,0.2,1,0,1,3
discern,5,5,0.3,2,0,1,2
creatorship,5,5,0.3,4,1,0,0
disclose,5,5,0.3,4,1,0,0
dismiss,5,5,0.3,1,2,1,1
gun,5,1,0.1,5,0,0,0
arthur,5,5,0.3,2,3,0,0
gift,5,2,0.1,4,0,0,1
metropolitan,5,4,0.2,2,0,2,1
longitudinal,5,5,0.3,2,0,1,2
trait,5,4,0.2,2,0,1,2
cambodia,5,4,0.2,4,0,0,1
articulation,5,5,0.3,3,2,0,0
imaginative,5,4,0.2,4,1,0,0
diminish,5,5,0.3,2,0,2,1
repair,5,4,0.2,2,1,0,2
approve,5,4,0.2,1,0,4,0
percentage,5,5,0.3,1,2,1,1
may,5,5,0.3,1,0,3,1
ruling,5,4,0.2,2,1,0,2
memorial,5,5,0.3,2,1,0,2
commemoration,5,5,0.3,4,0,1,0
partial,5,5,0.3,3,1,1,0
faith,5,5,0.3,3,1,0,1
absent,5,4,0.2,3,0,2,0
repertoire,5,3,0.2,4,1,0,0
situated,5,5,0.3,3,1,0,1
dynamism,5,5,0.3,3,1,1,0
closed,5,5,0.3,2,1,2,0
suppose,5,5,0.3,1,1,3,0
nations,5,5,0.3,3,1,1,0
substantive,5,5,0.3,2,1,1,1
crown,5,4,0.2,5,0,0,0
deloria,5,1,0.1,5,0,0,0
ancestor,5,4,0.2,4,0,0,1
activation,5,4,0.2,4,1,0,0
auction,5,4,0.2,2,0,1,2
footprint,5,4,0.2,1,2,2,0
framing,5,5,0.3,4,0,0,1
cast,5,5,0.3,1,2,1,1
chicago,5,4,0.2,3,0,0,2
heal,5,4,0.2,3,2,0,0
walter,5,4,0.2,1,3,0,1
korean,5,2,0.1,4,0,1,0
premis,5,1,0.1,5,0,0,0
professionalization,5,5,0.3,1,1,0,3
editing,5,5,0.3,1,2,0,2
bisexual,5,5,0.3,3,2,0,0
wisdom,5,5,0.3,1,0,3,1
intersecting,5,5,0.3,2,2,0,1
fresh,5,5,0.3,2,0,3,0
icty,5,1,0.1,5,0,0,0
investigative,5,5,0.3,1,1,2,1
burn,5,5,0.3,3,2,0,0
van,5,4,0.2,2,2,0,1
anchor,5,5,0.3,2,0,3,0
count,5,4,0.2,2,0,3,0
inadequacy,5,5,0.3,2,2,1,0
browse,5,4,0.2,3,1,0,1
navigational,5,2,0.1,1,0,0,4
racist,5,5,0.3,4,0,0,1
birmingham,5,2,0.1,3,0,2,0
solidarity,5,5,0.3,3,2,0,0
codify,5,5,0.3,1,2,2,0
experimentation,5,5,0.3,1,2,1,1
air,5,5,0.3,1,1,2,1
theorization,5,4,0.2,4,1,0,0
prevalent,5,5,0.3,1,0,3,1
centrality,5,5,0.3,3,0,1,1
instability,5,5,0.3,1,3,0,1
evoke,5,5,0.3,3,2,0,0
multiverse,5,5,0.3,3,2,0,0
flaw,5,4,0.2,3,0,2,0
wisconsin,5,3,0.2,1,0,0,4
implicate,5,5,0.3,1,2,0,2
annihilation,5,5,0.3,1,3,0,1
saving,5,5,0.3,2,0,3,0
estimate,5,5,0.3,3,0,2,0
modelling,5,5,0.3,2,0,3,0
severe,5,5,0.3,1,1,2,1
massive,5,5,0.3,1,0,2,2
destructive,5,5,0.3,3,2,0,0
detect,5,3,0.2,1,0,1,3
descendant,5,5,0.3,3,1,0,1
appoint,5,5,0.3,2,1,1,1
ehri,5,2,0.1,2,0,3,0
marginalise,5,5,0.3,4,0,1,0
underline,5,4,0.2,1,2,1,1
listen,5,5,0.3,2,2,0,1
handmaiden,5,1,0.1,5,0,0,0
milieu,5,5,0.3,2,1,0,2
endowment,5,3,0.2,3,1,0,1
intangible,5,4,0.2,2,2,0,1
unpack,5,5,0.3,2,1,1,1
sure,5,5,0.3,2,2,1,0
annotation,5,3,0.2,4,0,0,1
marginal,5,3,0.2,3,2,0,0
mirra,5,3,0.2,3,2,0,0
instigate,5,5,0.3,3,2,0,0
dashboard,5,2,0.1,4,0,1,0
promising,5,5,0.3,2,0,1,2
understudied,5,5,0.3,1,0,3,1
misunderstanding,5,4,0.2,4,0,0,1
resident,5,2,0.1,5,0,0,0
dimensional,5,5,0.3,2,0,2,1
optimise,5,2,0.1,3,0,2,0
resultant,5,5,0.3,1,0,3,1
pluralisation,5,2,0.1,5,0,0,0
logical,5,5,0.3,1,2,2,0
reformative,5,1,0.1,5,0,0,0
costume,5,1,0.1,5,0,0,0
kennedy,5,2,0.1,1,0,4,0
prerequisite,5,4,0.2,1,2,2,0
politician,5,5,0.3,1,1,0,3
htr,5,1,0.1,5,0,0,0
incorporation,5,5,0.3,1,2,1,1
perpetual,5,4,0.2,2,2,0,1
keyword,5,4,0.2,3,1,1,0
neoliberal,5,4,0.2,2,3,0,0
income,5,4,0.2,1,3,1,0
prevalence,5,5,0.3,1,2,1,1
actionable,5,5,0.3,3,1,1,0
interval,5,5,0.3,1,3,1,0
continent,5,4,0.2,2,0,3,0
satisfactory,5,4,0.2,1,2,2,0
completion,5,5,0.3,1,1,0,3
pertinent,5,5,0.3,1,1,1,2
homeless,5,1,0.1,5,0,0,0
hostile,5,3,0.2,5,0,0,0
relationality,5,4,0.2,3,2,0,0
minute,5,4,0.2,3,0,1,1
living,5,5,0.3,5,0,0,0
particularity,5,4,0.2,3,1,1,0
productivity,5,4,0.2,2,1,1,1
bentley,5,4,0.2,1,0,0,4
outsource,5,4,0.2,1,1,3,0
remarkable,5,5,0.3,2,2,0,1
durham,5,2,0.1,1,4,0,0
rico,5,2,0.1,4,0,0,1
caring,5,3,0.2,3,2,0,0
prioritise,5,5,0.3,2,0,3,0
merce,5,1,0.1,5,0,0,0
relegate,5,5,0.3,2,2,0,1
copying,5,5,0.3,1,2,2,0
harmful,5,5,0.3,1,2,0,2
positionality,5,4,0.2,2,2,0,1
iran,5,3,0.2,1,3,0,1
westlake,5,1,0.1,5,0,0,0
oxford,5,4,0.2,1,3,1,0
careful,5,5,0.3,1,1,2,1
szczecin,5,1,0.1,5,0,0,0
mailbox,5,1,0.1,5,0,0,0
urge,5,5,0.3,2,1,0,2
seizure,5,4,0.2,1,0,0,4
hamper,5,5,0.3,1,0,1,3
wartime,5,5,0.3,1,0,0,4
lebanon,5,2,0.1,4,0,0,1
exclusive,5,5,0.3,1,4,0,0
exacerbate,5,5,0.3,2,1,1,1
cinema,5,2,0.1,1,4,0,0
grasp,5,5,0.3,1,1,2,1
variance,5,5,0.3,1,0,4,0
tifinagh,5,1,0.1,5,0,0,0
advancement,5,5,0.3,1,0,2,2
compelling,5,5,0.3,1,0,0,4
scalable,5,5,0.3,1,2,1,1
colombia,5,2,0.1,2,3,0,0
kurdish,5,3,0.2,0,4,0,1
kurdistan,5,4,0.2,0,3,0,2
saddam,5,3,0.2,0,2,0,3
preoccupation,5,5,0.3,0,5,0,0
bay,5,4,0.2,0,5,0,0
