journal,title,author,year,volume,issue,doi,abstract,abstract_clean
Records Management Journal,The story of the Australian recordkeeping competency standards,Picot A.,2001,11.0,3,10.1108/EUM0000000007272,"In July 2001 a comprehensive training package for business services successfully jumped its first hurdle on the way to endorsement when the Australian National Training Authority passed it onto the National Quality Training Council for quality checking. The Business Services Training Package includes a revised set of recordkeeping competency units based on the 1997 Records and Archives Competency Standards. The revised standards have been packaged into recommended qualifications which embrace both specialist recordkeeping qualifications and general business services qualifications. The training package may be used to construct training programs through a range of levels, from schoolleavers entering the workforce to do office work, through to professional development programs for experienced recordkeeping professionals. The process of re-organising the 1997 competency standards into training packages has been a subject of controversy in the industry. This article provides an account of the original project to develop records management and archives competency standards and the subsequent revision project in the context of major changes in the tertiary education sector in Australia. © 2001, MCB UP Limited",in july a comprehensive training package for business services successfully jumped its first hurdle on the way to endorsement when the australian national training authority passed it onto the national quality training council for quality checking the business services training package includes a revised set of recordkeeping competency units based on the records and archives competency standards the revised standards have been packaged into recommended qualifications which embrace both specialist recordkeeping qualifications and general business services qualifications the training package may be used to construct training programs through a range of levels from schoolleavers entering the workforce to do office work through to professional development programs for experienced recordkeeping professionals the process of re-organising the competency standards into training packages has been a subject of controversy in the industry this article provides an account of the original project to develop records management and archives competency standards and the subsequent revision project in the context of major changes in the tertiary education sector in australia mcb up limited
Records Management Journal,Appraisal based on organic functional analysis: A case study in an electronic records environment,Carvalho C.,2001,11.0,3,10.1108/EUM0000000007274,"This article is a shortened version of a Master's dissertation for the Liverpool University Centre for Archive Studies. It deals with issues of appraisal. Such issues involve fundamental concepts on what records are, why they are kept, and their life cycle. The answers to these questions were sought and found in the history of archives, and in the specialist literature. The theory and the methodology adopted were then applied to a case study of a recently established organisation in Lisbon, which has, at the core of its business, information in electronic format. © 2001, MCB UP Limited",this article is a shortened version of a master s dissertation for the liverpool university centre for archive studies it deals with issues of appraisal such issues involve fundamental concepts on what records are why they are kept and their life cycle the answers to these questions were sought and found in the history of archives and in the specialist literature the theory and the methodology adopted were then applied to a case study of a recently established organisation in lisbon which has at the core of its business information in electronic format mcb up limited
Records Management Journal,Guidelines and standards for records management education and training: A model for Anglophone Africa,Ngulube P.,2001,11.0,3,10.1108/EUM0000000007273,"This article gives an overview of education and training of records managers in anglophone Africa and then focuses on standards for training of archivist and records managers. Using South Africa's National Qualifications Framework and the South African Qualifications Authority guidelines, a training model that can be used elsewhere in Africa with some adjustments is suggested. The article recognises that there can be no one set of universally standard desirable outcomes for all educational institutions, as the outcomes must depend on the institution's nature and mission. Whilst the teaching and learning processes may differ between countries, there should be a substantial commonality in the outcomes achieved. Thus it would be possible to have generic processes of assessment and accreditation. Adherence to standards is key to the generic process of accreditation and professional mobility. © 2001, MCB UP Limited",this article gives an overview of education and training of records managers in anglophone africa and then focuses on standards for training of archivist and records managers using south africa s national qualifications framework and the south african qualifications authority guidelines a training model that can be used elsewhere in africa with some adjustments is suggested the article recognises that there can be no one set of universally standard desirable outcomes for all educational institutions as the outcomes must depend on the institution s nature and mission whilst the teaching and learning processes may differ between countries there should be a substantial commonality in the outcomes achieved thus it would be possible to have generic processes of assessment and accreditation adherence to standards is key to the generic process of accreditation and professional mobility mcb up limited
Records Management Journal,ISO 15489 Records Management – its development and significance,Healy S.,2001,11.0,3,10.1108/EUM0000000007271,"This article describes the process of producing ISO 15489 Records Management, and explores some of the professional and other issues that arose for consideration at an international level. It concludes by identifying some of the benefits of the Standard for records management in the UK. © 2001, MCB UP Limited",this article describes the process of producing iso records management and explores some of the professional and other issues that arose for consideration at an international level it concludes by identifying some of the benefits of the standard for records management in the uk mcb up limited
Records Management Journal,"VERS implementation project at the Department of Infrastructure – Melbourne, Australia",Quenault H.,2001,11.0,2,10.1108/EUM0000000007267,"This paper discusses related records of digital information. It covers the background of the Victorian Electronic Records Strategy (VERS) and highlights some of the areas and issues discovered in the implementation of VERS at the Department of Infrastructure, Victoria, and Australia. © 2001, MCB UP Limited",this paper discusses related records of digital information it covers the background of the victorian electronic records strategy vers and highlights some of the areas and issues discovered in the implementation of vers at the department of infrastructure victoria and australia mcb up limited
Records Management Journal,The management and preservation of personnel recrods in ESARBICA members states,Mnjama N.,2001,11.0,2,10.1108/EUM0000000007270,"In this article the author explores current practice in managing personnel records within the context of government in East and Southern African countries. Such records are mostly in paper form and are vast in number. The results of observation, discussion and a survey are shared. Conclusions and recommendations are made about the future management of personnel records particularly in the context of possible future freedom of information and privacy legislation. © 2001, MCB UP Limited",in this article the author explores current practice in managing personnel records within the context of government in east and southern african countries such records are mostly in paper form and are vast in number the results of observation discussion and a survey are shared conclusions and recommendations are made about the future management of personnel records particularly in the context of possible future freedom of information and privacy legislation mcb up limited
Records Management Journal,Electronic records management in Malaysia: The need for an organisational and legal framework,Johare R.,2001,11.0,2,10.1108/EUM0000000007269,"Information technology has led to rapid and dynamic changes in the way government and business operate. The introduction of computers helps government administration in achieving efficiency and adding value to the conduct of government business transaction. The Malaysian Government has taken a pragmatic approach to the advancement of information technology by establishing a mega Electronic Government (EG) project in the form of a Multimedia Super Corridor (MSC) amidst the legacy systems. This paper seeks to demonstrate the nature of the EG initiatives and the legacy systems and discusses how the National Archives of Malaysia responded to the mounting pressure to address records management problems associated with the legacy systems and the EG. © 2001, MCB UP Limited",information technology has led to rapid and dynamic changes in the way government and business operate the introduction of computers helps government administration in achieving efficiency and adding value to the conduct of government business transaction the malaysian government has taken a pragmatic approach to the advancement of information technology by establishing a mega electronic government eg project in the form of a multimedia super corridor msc amidst the legacy systems this paper seeks to demonstrate the nature of the eg initiatives and the legacy systems and discusses how the national archives of malaysia responded to the mounting pressure to address records management problems associated with the legacy systems and the eg mcb up limited
Records Management Journal,Securing funding in the local government bidding culture: Are records sufficiently ‘sexy’ to succeed?,Coulson G.,2001,11.0,2,10.1108/EUM0000000007268,"This paper presents some of the findings from research into the effects that the emergent bidding culture has had on the development of English local government archive, library and museum services. The project was funded by Resource and undertaken by the Information Management Research Institute at the University of Northumbria at Newcastle. The research revealed that the extent of involvement by archives and record management services in competitive bidding for external funds was dependent on a number of factors including the level of existing resource bases of archive services; the geographical and cognitive locations of archives; and the focus of external funding opportunities. However, the need for archives and records management services to engage in effective bidding is not likely to disappear, and it is suggested that these organisations must adopt a dynamic approach to bidding and marketing, asserting that their needs – ‘sexy’ or otherwise – deserve appropriate funding. © 2001, MCB UP Limited",this paper presents some of the findings from research into the effects that the emergent bidding culture has had on the development of english local government archive library and museum services the project was funded by resource and undertaken by the information management research institute at the university of northumbria at newcastle the research revealed that the extent of involvement by archives and record management services in competitive bidding for external funds was dependent on a number of factors including the level of existing resource bases of archive services the geographical and cognitive locations of archives and the focus of external funding opportunities however the need for archives and records management services to engage in effective bidding is not likely to disappear and it is suggested that these organisations must adopt a dynamic approach to bidding and marketing asserting that their needs sexy or otherwise deserve appropriate funding mcb up limited
Records Management Journal,Records management and the capture of tacit knowledge,Sanderson M.,2001,11.0,1,10.1108/EUM0000000007263,"The purpose of this paper is to consider the question ‘is it necessary and appropriate for records managers to play a role in identifying and capturing tacit knowledge into records and maintaining them accordingly, and by doing so safeguarding the organisation's intellectual assets, moving human capital into structural capital’? Nonaka emphasises that tacit knowledge is a main source for creating new knowledge and continuous innovation. The need for, and ability of, organisations to capture tacit knowledge remains a disputed academic issue. Considering Nonaka's hierarchy of data → information → knowledge, the need for a reverse movement from knowledge → information seems to be a fair and logical conclusion. Making the case for capturing tacit knowledge, this paper goes on to discuss some of the implications for records management and records managers. There are no easy solutions on offer for the successful capture and re-use of tacit knowledge but questions are raised about the role of records managers. Developing relevant skills and taking responsibility for helping organisations with this strategic goal, thereby contributing to some core aspirations of our employers, should be an exciting prospect and worthwhile activity. © 2001, MCB UP Limited",the purpose of this paper is to consider the question is it necessary and appropriate for records managers to play a role in identifying and capturing tacit knowledge into records and maintaining them accordingly and by doing so safeguarding the organisation s intellectual assets moving human capital into structural capital nonaka emphasises that tacit knowledge is a main source for creating new knowledge and continuous innovation the need for and ability of organisations to capture tacit knowledge remains a disputed academic issue considering nonaka s hierarchy of data information knowledge the need for a reverse movement from knowledge information seems to be a fair and logical conclusion making the case for capturing tacit knowledge this paper goes on to discuss some of the implications for records management and records managers there are no easy solutions on offer for the successful capture and re-use of tacit knowledge but questions are raised about the role of records managers developing relevant skills and taking responsibility for helping organisations with this strategic goal thereby contributing to some core aspirations of our employers should be an exciting prospect and worthwhile activity mcb up limited
Records Management Journal,Preservation of Metropolitan Police Service records under the Greater London Authority,Brown A.,2001,11.0,1,10.1108/EUM0000000007264,"This article examines the effects of the Greater London Authority Act 1999 which makes changes to the accountability of the Metropolitan Police Service (MPS) by making it responsible to an independent police authority in the same way as other police forces in England and Wales. This is likely to affect the legal status of its records as ‘public records’. A comparison is made between current MPS practices and those of other police forces, together with an examination of the use of police records at the Public Record Office. The article attempts to show that, by making the MPS responsible to an independent authority rather than the Home Secretary, it is the authority, rather than the force, which will be subject to the provisions of the Local Government Act 1972 for records purposes, and the resulting change in status may result in a more fragmentary preservation of historical material. © 2001, MCB UP Limited",this article examines the effects of the greater london authority act which makes changes to the accountability of the metropolitan police service mps by making it responsible to an independent police authority in the same way as other police forces in england and wales this is likely to affect the legal status of its records as public records a comparison is made between current mps practices and those of other police forces together with an examination of the use of police records at the public record office the article attempts to show that by making the mps responsible to an independent authority rather than the home secretary it is the authority rather than the force which will be subject to the provisions of the local government act for records purposes and the resulting change in status may result in a more fragmentary preservation of historical material mcb up limited
Records Management Journal,Does the position of records management within the organisation influence the records management provision?,Loadman J.,2001,11.0,1,10.1108/EUM0000000007266,"This article is based on research undertaken as part of a Masters qualification. The aim of the project was to explore the relationship between the placement of the records management function and the nature of the records management service. Using data collected by means of a questionnaire survey, the article examines and draws conclusions about the factors which impact on the way records management is carried out across organisations in different sectors and of different sizes. © 2001, MCB UP Limited",this article is based on research undertaken as part of a masters qualification the aim of the project was to explore the relationship between the placement of the records management function and the nature of the records management service using data collected by means of a questionnaire survey the article examines and draws conclusions about the factors which impact on the way records management is carried out across organisations in different sectors and of different sizes mcb up limited
Records Management Journal,Data warehousing – a boat records managers should not miss,Atkinson E.,2001,11.0,1,10.1108/EUM0000000007265,"This article describes a data warehouse by comparing definitions. It examines the difference between a database and a data warehouse, and gives definitions of datamarts and data mining. The article goes on to look at methods for implementing a data warehouse, and problems that can be encountered during implementation. It discusses whether the data in a data warehouse are records, finally deciding that they are and that the records manager should have overall responsibility for the data. © 2001, MCB UP Limited",this article describes a data warehouse by comparing definitions it examines the difference between a database and a data warehouse and gives definitions of datamarts and data mining the article goes on to look at methods for implementing a data warehouse and problems that can be encountered during implementation it discusses whether the data in a data warehouse are records finally deciding that they are and that the records manager should have overall responsibility for the data mcb up limited
Records Management Journal,“Back to the future”: Electronic records management in the twenty-first century,Sinclair N.,2002,12.0,3,10.1108/09565690210454932,"Canada has tasked itself with delivering e-government to its citizens by the year 2005 and the Canadian Government has recognized that improving the management of its information holdings is critical to successfully meeting the challenge. As Canadians become accustomed to online services from the private sector, they expect client-centric and customized service from government and for government to use business processes that make sense when used in an electronic service delivery environment. Technology's ability to disseminate information quickly and in large volumes, bring an increased need for transparency to e-government. E-government increases the need for visible accountability. This in turn, increases the need for accountability for information produced and used by government. It pushes information management from an invisible back office activity into the front lines of service delivery. This article looks at the evolving accountability for managing information within the public service, and some of the approaches the Canadian Government is taking to help address those accountabilities. © 2002, MCB UP Limited",canada has tasked itself with delivering e-government to its citizens by the year and the canadian government has recognized that improving the management of its information holdings is critical to successfully meeting the challenge as canadians become accustomed to online services from the private sector they expect client-centric and customized service from government and for government to use business processes that make sense when used in an electronic service delivery environment technology s ability to disseminate information quickly and in large volumes bring an increased need for transparency to e-government e-government increases the need for visible accountability this in turn increases the need for accountability for information produced and used by government it pushes information management from an invisible back office activity into the front lines of service delivery this article looks at the evolving accountability for managing information within the public service and some of the approaches the canadian government is taking to help address those accountabilities mcb up limited
Records Management Journal,Establishing a high standard for electronic records management within the Australian public sector,Swan K.,2002,12.0,3,10.1108/09565690210454761,"Using as its basis the Australian Records Management Standard (AS 4390 – now superseded by the International Records Management Standard, ISO 15489), the National Archives of Australia (NAA) has developed an extensive range of detailed and practical standards, guidelines, policies and manuals to assist Australian public sector organisations to implement strategies to make and keep full and accurate records. The NAA committed to this course of action in response to evidence of widespread poor record keeping in the Australian Government, the result of changes to work practices in the public sector including the spread of electronic business systems and the devolution of managerial responsibility. This article describes the major components of the “e-permanence”’ suite of best practice record keeping guidance and discusses implementation strategies pursued by the Archives in support of these products. © 2002, MCB UP Limited",using as its basis the australian records management standard as now superseded by the international records management standard iso the national archives of australia naa has developed an extensive range of detailed and practical standards guidelines policies and manuals to assist australian public sector organisations to implement strategies to make and keep full and accurate records the naa committed to this course of action in response to evidence of widespread poor record keeping in the australian government the result of changes to work practices in the public sector including the spread of electronic business systems and the devolution of managerial responsibility this article describes the major components of the e-permanence suite of best practice record keeping guidance and discusses implementation strategies pursued by the archives in support of these products mcb up limited
Records Management Journal,An integrated approach to managing electronic records,Benfell P.,2002,12.0,3,10.1108/09565690210454789,"This paper presents an approach to managing electronic records by integrating the development and implementation of a corporate records management programme based on ISO 15489, the International Standard in Records Management, with the implementation of an electronic records management (ERM) software package. The approach involves developing file plans based on functional analyses and establishing electronic folder structures on existing network drives which mirror this enabling “e-tidying” – the process of sorting and evaluating existing electronic information. It also proposes establishing ERM before electronic document management (EDM) based on the need to remove split and/or personal repositories of electronic holdings to improve access and management before evaluating the need for version control, amendment tracking etc. provided by EDM systems. © 2002, MCB UP Limited",this paper presents an approach to managing electronic records by integrating the development and implementation of a corporate records management programme based on iso the international standard in records management with the implementation of an electronic records management erm software package the approach involves developing file plans based on functional analyses and establishing electronic folder structures on existing network drives which mirror this enabling e-tidying the process of sorting and evaluating existing electronic information it also proposes establishing erm before electronic document management edm based on the need to remove split and or personal repositories of electronic holdings to improve access and management before evaluating the need for version control amendment tracking etc provided by edm systems mcb up limited
Records Management Journal,Managing e-mail and e-commerce records,Shipman A.,2002,12.0,3,10.1108/09565690210454798,"Meeting the challenge of electronic working is not just about giving your staff e-mail capability, or the setting up of Web-based e-commerce systems. All these systems create electronic documents, some of which need to be classified as records, and also managed to the same (or better?) standards as paper records. Organisations that do not recognise this position, or who only give a fleeting recognition to the need for good working practices in this area, will not achieve full business benefit from their electronic systems. This paper discusses some of the guidance available from the UK's British Standards Institution on this topic. © 2002, MCB UP Limited",meeting the challenge of electronic working is not just about giving your staff e-mail capability or the setting up of web-based e-commerce systems all these systems create electronic documents some of which need to be classified as records and also managed to the same or better standards as paper records organisations that do not recognise this position or who only give a fleeting recognition to the need for good working practices in this area will not achieve full business benefit from their electronic systems this paper discusses some of the guidance available from the uk s british standards institution on this topic mcb up limited
Records Management Journal,Future proof: Ensuring the long-term accessibility of technology-dependent records,Findlay C.,2002,12.0,3,10.1108/09565690210454770,"Records and archives professionals around the globe have been grappling for some time with the challenge of preserving technology-dependent records. A variety of approaches and solutions have been developed, many of which are working effectively now. The State Records Authority of New South Wales (State Records) has developed a range of strategies, rules and tools on this issue for its own jurisdiction – Government organisations in the State of New South Wales, Australia. The latest product developed by State Records is a set of online guidelines titled, “Future proof: ensuring the accessibility of equipment/technology dependent records”. In this article, the background to the development of the guidelines is discussed, and the strategies they contain are described. Some considerations for the management of technology-dependent State archives are also outlined. © 2002, MCB UP Limited",records and archives professionals around the globe have been grappling for some time with the challenge of preserving technology-dependent records a variety of approaches and solutions have been developed many of which are working effectively now the state records authority of new south wales state records has developed a range of strategies rules and tools on this issue for its own jurisdiction government organisations in the state of new south wales australia the latest product developed by state records is a set of online guidelines titled future proof ensuring the accessibility of equipment technology dependent records in this article the background to the development of the guidelines is discussed and the strategies they contain are described some considerations for the management of technology-dependent state archives are also outlined mcb up limited
Records Management Journal,One size does not fit all: Developing records management in higher education,Procter M.,2002,12.0,2,10.1108/09565690210442917,"The phased implementation of the UK Freedom of Information (FoI) Act means that higher education will be one of the last parts of the public sector to be affected by the legislation. In an environment where records management (RM) is not a generally recognised function, the implications of compliance may not be fully realised. This article examines the reasons for a growing awareness of RM issues within the higher education environment, work that has already been done in this area, and explains how a combination of factors is raising the profile of RM, leading to increased job opportunities. It considers the development of a sector-specific Model Action Plan for FoI Code of Practice compliance, noting some of the issues that need particular attention. © 2002, MCB UP Limited",the phased implementation of the uk freedom of information foi act means that higher education will be one of the last parts of the public sector to be affected by the legislation in an environment where records management rm is not a generally recognised function the implications of compliance may not be fully realised this article examines the reasons for a growing awareness of rm issues within the higher education environment work that has already been done in this area and explains how a combination of factors is raising the profile of rm leading to increased job opportunities it considers the development of a sector-specific model action plan for foi code of practice compliance noting some of the issues that need particular attention mcb up limited
Records Management Journal,The quality must be on record: A survey of organisations having an ISO 9000 certification in Iceland,Gunnlaugsdóttir J.,2002,12.0,2,10.1108/09565690210442908,"ISO 9000 certification is a necessary entry ticket for an organisation for selling its products abroad in new markets. The costs involved in establishing a quality system and having it certified can be substantial, but all the respondents found the investment in the certification to be paying off. The area needing most improvement before the quality system could be introduced was records management (RM). It is also what seems to go wrong most frequently as detected by the quality auditors. The ISO 9000:2000 standard places no less emphasis on RM than its predecessor, and the demand for well designed RM programmes will not diminish. The new ISO 15489 standard on RM is an excellent guide for this work. © 2002, MCB UP Limited",iso certification is a necessary entry ticket for an organisation for selling its products abroad in new markets the costs involved in establishing a quality system and having it certified can be substantial but all the respondents found the investment in the certification to be paying off the area needing most improvement before the quality system could be introduced was records management rm it is also what seems to go wrong most frequently as detected by the quality auditors the iso standard places no less emphasis on rm than its predecessor and the demand for well designed rm programmes will not diminish the new iso standard on rm is an excellent guide for this work mcb up limited
Records Management Journal,Towards a theoretical construct for records management,Yusof Z.,2002,12.0,2,10.1108/09565690210442926,"Records managers often complain that records management is undervalued, suffers from the influence of irrelevant traditional concepts, and is therefore theoretically flawed. The findings of several surveys attest to this situation, but do not explain the many reasons that contribute to the lack of understanding and acceptance of records management as a separate discipline. For any field or discipline to be accepted, it must possess a strong foundation in theory. This article will examine whether there is an accepted body of theory underlying records management methods and practices. An attempt is made to develop a conceptual model that the authors believe records managers need in order to explain the present “state of the art” of the discipline and justify their contribution to the management of organisations. © 2002, MCB UP Limited",records managers often complain that records management is undervalued suffers from the influence of irrelevant traditional concepts and is therefore theoretically flawed the findings of several surveys attest to this situation but do not explain the many reasons that contribute to the lack of understanding and acceptance of records management as a separate discipline for any field or discipline to be accepted it must possess a strong foundation in theory this article will examine whether there is an accepted body of theory underlying records management methods and practices an attempt is made to develop a conceptual model that the authors believe records managers need in order to explain the present state of the art of the discipline and justify their contribution to the management of organisations mcb up limited
Records Management Journal,A new appraisal approach for English Heritage,Sims F.,2002,12.0,1,10.1108/09565690210427743,"English Heritage is a non-departmental public body and as such is covered by the provisions of the Public Records Act. In 1999 all file destructions were suspended and the entire approach to records appraisal was re-examined. This paper explains the revised appraisal programme, based on the functional approach, introduced at English Heritage last year. It sets out the proposals that were made for implementation and future action; it outlines the resources that have been committed to the programme and other resources that will be needed in the future. It also examines the drivers for the revised programme and sets out the projected corporate benefits, which include accountability, affordability and openness, the early identification and documentation of records selected for permanent preservation and a significant reduction in non-current record holdings. © 2002, MCB UP Limited",english heritage is a non-departmental public body and as such is covered by the provisions of the public records act in all file destructions were suspended and the entire approach to records appraisal was re-examined this paper explains the revised appraisal programme based on the functional approach introduced at english heritage last year it sets out the proposals that were made for implementation and future action it outlines the resources that have been committed to the programme and other resources that will be needed in the future it also examines the drivers for the revised programme and sets out the projected corporate benefits which include accountability affordability and openness the early identification and documentation of records selected for permanent preservation and a significant reduction in non-current record holdings mcb up limited
Records Management Journal,What do we mean by governance?,Tombs K.,2002,12.0,1,10.1108/09565690210431333,"This article explores governance and information. What is governance and what are the attitudes towards it? What is the value of information? Lack of common understanding of governance as an emerging subject area and common perceptions of the subject can be misleading. Over-reliance upon computerised information systems can fault organisational decision making and yet there is a need for “factuality” in decision-making to underpin expert opinion or management choice. These issues, together with the influence of management and organisational culture on governance and information systems design choices, are examined. © 2002, MCB UP Limited",this article explores governance and information what is governance and what are the attitudes towards it what is the value of information lack of common understanding of governance as an emerging subject area and common perceptions of the subject can be misleading over-reliance upon computerised information systems can fault organisational decision making and yet there is a need for factuality in decision-making to underpin expert opinion or management choice these issues together with the influence of management and organisational culture on governance and information systems design choices are examined mcb up limited
Records Management Journal,Much ado about metadata,Atkinson E.,2002,12.0,1,10.1108/09565690210427761,"The traditional archival accessioning of records when they are no longer required by their originators has led to problems, especially in the case of electronic records. This has created not only huge backlogs but also either the non-receipt of electronic records or their receipt with vital contextual or structural metadata missing. The solution put forward by Bearman, Hedstrom, Dollar and Kandur is the metadata systems approach. This approach involves archivists in managing the context and structure of electronic records rather than their content. This is achieved not only through using electronic records’ existing metadata, but also through archivists influencing the design of electronic records systems to provide them with the metadata they need. MacNeil, however, has reservations about the metadata systems approach, and feels that archivists’ influence on metadata for potential secondary use contravenes the archivist's primary duty to protect and preserve. This article posits that the positive effects of archivists’ influence on metadata far outweigh the negative. © 2002, MCB UP Limited",the traditional archival accessioning of records when they are no longer required by their originators has led to problems especially in the case of electronic records this has created not only huge backlogs but also either the non-receipt of electronic records or their receipt with vital contextual or structural metadata missing the solution put forward by bearman hedstrom dollar and kandur is the metadata systems approach this approach involves archivists in managing the context and structure of electronic records rather than their content this is achieved not only through using electronic records existing metadata but also through archivists influencing the design of electronic records systems to provide them with the metadata they need macneil however has reservations about the metadata systems approach and feels that archivists influence on metadata for potential secondary use contravenes the archivist s primary duty to protect and preserve this article posits that the positive effects of archivists influence on metadata far outweigh the negative mcb up limited
Records Management Journal,Model Requirements for the Management of Electronic Records (MoReq): A critical evaluation,Cain P.,2002,12.0,1,10.1108/09565690210427752,"This article reviews the Model Requirements for the Management of Electronic Records (MoReq) developed for the European Commission's Interchange of Data between Administrations (IDA) initiative. MoReq is of use in the design, selection and audit of systems for managing electronic records. It is a substantial piece of work that contributes to our profession's efforts to find practical solutions to managing electronic records. If MoReq is to succeed, it must be given greater visibility and support from the European Commission to allow its authors to produce case studies and sustain the further development of the model requirements to keep up with technological trends. © 2002, MCB UP Limited",this article reviews the model requirements for the management of electronic records moreq developed for the european commission s interchange of data between administrations ida initiative moreq is of use in the design selection and audit of systems for managing electronic records it is a substantial piece of work that contributes to our profession s efforts to find practical solutions to managing electronic records if moreq is to succeed it must be given greater visibility and support from the european commission to allow its authors to produce case studies and sustain the further development of the model requirements to keep up with technological trends mcb up limited
Records Management Journal,"The complexities of working in the international records management business – RM isn't rocket science, or is it?",Vaillant S.,2003,13.0,3,10.1108/09565690310507310,"Focuses on the records management function in national, multi-national and service organizations. Describes the problems that can occur when documents are generated and managed in different countries by staff with different cultural assumptions, logistical options, languages and legal requirements. © 2003, MCB UP Limited",focuses on the records management function in national multi-national and service organizations describes the problems that can occur when documents are generated and managed in different countries by staff with different cultural assumptions logistical options languages and legal requirements mcb up limited
Records Management Journal,Records management: France in search of a direction,Fuzeau P.,2003,13.0,3,10.1108/09565690310507338,"This article reviews the late emergence of records management in France and its recent development through the impact of the e-environment and international standards and through the dominance of the French public-sector approach to, and practice of, RM. The French government has launched the French “administration” on the road to e-government, a strategy that will impact on the private sector in its relations with regulatory and other state bodies. © 2003, MCB UP Limited",this article reviews the late emergence of records management in france and its recent development through the impact of the e-environment and international standards and through the dominance of the french public-sector approach to and practice of rm the french government has launched the french administration on the road to e-government a strategy that will impact on the private sector in its relations with regulatory and other state bodies mcb up limited
Records Management Journal,Managing records in the private sector in Finland,Roos C.,2003,13.0,3,10.1108/09565690310507356,"Finland is a relatively new country, having been founded in 1917, and the majority of its firms are small. In terms of IT infrastructure, however, it is one of the most developed in the world. Within this context the Finnish Business Archives Association, which was founded in 1960, leads the development of records and archives administration in private firms. This article reviews its aims and achievements to date. © 2003, MCB UP Limited",finland is a relatively new country having been founded in and the majority of its firms are small in terms of it infrastructure however it is one of the most developed in the world within this context the finnish business archives association which was founded in leads the development of records and archives administration in private firms this article reviews its aims and achievements to date mcb up limited
Records Management Journal,Opportunities for records managers working in the private sector,Hughes C.,2003,13.0,3,10.1108/09565690310509264,"Since the launch of ISO-15489 there have been more opportunities available to records managers to help them align themselves to the strategic direction of their organisation, raise their profile and increase awareness of their role. This is particularly true in the private sector, where key drivers are increased market share and competitive advantage. Skill sets originally developed for knowledge managers have resonance for records managers too to aid their personal development and as a tool for the strategic development of records management programmes. An example of this is the marketing of records management services, which is a critical opportunity to increase awareness and build profiles, and assist with records management education and adoption. By viewing the records management function as a business serving internal clients, the records manager has an unmissable chance to “sell” those services to clients. © 2003, MCB UP Limited",since the launch of iso- there have been more opportunities available to records managers to help them align themselves to the strategic direction of their organisation raise their profile and increase awareness of their role this is particularly true in the private sector where key drivers are increased market share and competitive advantage skill sets originally developed for knowledge managers have resonance for records managers too to aid their personal development and as a tool for the strategic development of records management programmes an example of this is the marketing of records management services which is a critical opportunity to increase awareness and build profiles and assist with records management education and adoption by viewing the records management function as a business serving internal clients the records manager has an unmissable chance to sell those services to clients mcb up limited
