journal,title,author,year,doi
Records Management Journal,Editorial,Mcleod J.,2010,10.1108/rmj.2010.28120baa.001
Records Management Journal,Managing Electronic Records (4th ed.),Hardiman R.,2010,10.1108/rmj.2010.28120aae.004
Records Management Journal,Happy birthday to RMJ,Morddel A.,2010,10.1108/rmj.2010.28120aaa.002
Records Management Journal,Editorial,Mcleod J.,2010,10.1108/rmj.2010.28120aaa.001
Records Management Journal,Measuring the impact of research,Marsh R.,2010,10.1108/rmj.2010.28120aaa.003
Records Management Journal,Archives and Archivists in 20th Century England,Lomas E.,2010,10.1108/rmj.2010.28120aae.005
Records Management Journal,Delete: The Virtue of Forgetting in the Digital Age,Stevenson K.,2010,10.1108/rmj.2010.28120aae.001
Records Management Journal,Code of Practice on the Management of Records,Moran C.,2010,10.1108/rmj.2010.28120aae.002
Records Management Journal,BS 10012:2009 Data Protection Specification for a Personal Information Management System,Young L.,2010,10.1108/rmj.2010.28120aae.003
Records Management Journal,Editorial,Mcleod J.,2011,10.1108/rmj.2011.28121caa.001
Records Management Journal,Editorial,Mcleod J.,2011,10.1108/rmj.2011.28121baa.001
Records Management Journal,The Archives and Records Association (ARA) UK and Ireland 2010 Cloud Computing Report and Toolkit Reports,Cumming K.,2011,10.1108/09565691111152116
Records Management Journal,The future of archives and recordkeeping,Lomas E.,2011,10.1108/09565691111125125
Records Management Journal,Editorial,McLeod J.,2011,10.1108/rmj.2011.28121aaa.002
Records Management Journal,Editorial,Mcleod J.,2012,10.1108/rmj.2012.28122aaa.001
Records Management Journal,The IG Game. Information Governance in Primary Care,Childs S.,2012,10.1108/rmj.2012.28122aaa.002
Records Management Journal,Information Resource Description: Creating and Managing Metadata,Maguire R.,2013,10.1108/RMJ-09-2013-0020
Records Management Journal,Introduction to Information Science,Hare C.,2013,10.1108/RMJ-09-2013-0018
Records Management Journal,Records and Information Management,Jones P.,2013,10.1108/RMJ-09-2013-0019
Records Management Journal,Editorial,Mcleod J.,2013,10.1108/rmj.2013.28123aaa.001
Records Management Journal,Records Management and Information Culture,,2014,10.1108/RMJ-09-2014-0036
Records Management Journal,Guest editorial,Foscarini F.,2017,10.1108/RMJ-05-2017-0014
Records Management Journal,Guest editorial,Lomas E.,2019,10.1108/RMJ-03-2019-048
Records Management Journal,Guest editorial,McLeod J.,2020,10.1108/RMJ-07-2020-057
Records Management Journal,Special issue editorial,Demb S.R.,2021,10.1108/RMJ-04-2021-0017
Records Management Journal,"Editorial: The carrot and the stick: the impact of legislation and regulation on records management best practice, change and innovation",Lomas E.J.,2024,10.1108/RMJ-11-2024-083
Records Management Journal,Publisher’s note,,2025,10.1108/RMJ-09-2025-084
