Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
15;19600157322;"Journal of Cheminformatics";journal;"17582946";"BioMed Central Ltd";Yes;No;1,570;Q1;92;144;301;7836;2353;289;5,51;54,42;30,51;0;17;United Kingdom;Western Europe;"BioMed Central Ltd";"2009-2025";"Computer Graphics and Computer-Aided Design (Q1); Computer Science Applications (Q1); Library and Information Sciences (Q1); Physical and Theoretical Chemistry (Q1)";"Chemistry; Computer Science; Social Sciences"
16;130132;"Information Technology and People";journal;"09593845";"Emerald Group Publishing Ltd.";No;No;1,567;Q1;83;186;336;17294;2864;331;8,20;92,98;41,65;0;37;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1990, 1992, 1994-2025";"Computer Science Applications (Q1); Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
17;28040;"International Journal of Geographical Information Science";journal;"13658816, 13658824";"Taylor and Francis Ltd.";No;No;1,502;Q1;141;131;302;7722;2018;297;5,87;58,95;33,54;0;51;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1997-2025";"Geography, Planning and Development (Q1); Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
18;21101062805;"Quantitative Science Studies";journal;"26413337";"";Yes;No;1,486;Q1;30;55;185;3111;927;168;4,05;56,56;32,10;3;17;United States;Northern America;"";"2020-2024";"Analysis (Q1); Cultural Studies (Q1); Library and Information Sciences (Q1); Numerical Analysis (Q1)";"Mathematics; Social Sciences"
19;130080;"Journal of Chemical Information and Modeling";journal;"1549960X, 15499596";"American Chemical Society";No;No;1,467;Q1;205;799;1764;49578;11487;1749;5,45;62,05;31,92;3;138;United States;Northern America;"American Chemical Society";"2005-2025";"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Computer Science Applications (Q1); Library and Information Sciences (Q1)";"Chemical Engineering; Chemistry; Computer Science; Social Sciences"
20;15107;"IEEE Transactions on Information Theory";journal;"00189448, 15579654";"Institute of Electrical and Electronics Engineers Inc.";No;No;1,464;Q1;304;547;1400;22729;4708;1399;3,24;41,55;22,68;0;4;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1963-2025";"Computer Science Applications (Q1); Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
21;18916;"Social Science Computer Review";journal;"15528286, 08944393";"SAGE Publications Inc.";No;No;1,374;Q1;96;129;273;8399;1595;272;5,50;65,11;43,23;2;34;United States;Northern America;"SAGE Publications Inc.";"1983-2025";"Computer Science Applications (Q1); Law (Q1); Library and Information Sciences (Q1); Social Sciences (miscellaneous) (Q1)";"Computer Science; Social Sciences"
22;15442;"Information Systems Management";journal;"10580530";"Taylor and Francis Ltd.";No;No;1,352;Q1;72;41;75;3223;493;60;7,15;78,61;34,55;0;4;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1992-2024";"Computer Science Applications (Q1); Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
23;17857;"Journal of the Medical Library Association";journal;"15365050, 15589439";"Medical Library Association";Yes;Yes;1,348;Q1;76;49;207;1291;879;181;4,75;26,35;75,89;0;13;United States;Northern America;"Medical Library Association";"1999, 2001-2025";"Health Informatics (Q1); Library and Information Sciences (Q1); Medicine (miscellaneous) (Q1)";"Medicine; Social Sciences"
24;5100155103;"Journal of Informetrics";journal;"18755879, 17511577";"Elsevier B.V.";No;No;1,321;Q1;99;99;267;5460;1275;267;4,42;55,15;34,30;1;15;Netherlands;Western Europe;"Elsevier B.V.";"2007-2025";"Applied Mathematics (Q1); Computer Science Applications (Q1); Library and Information Sciences (Q1); Management Science and Operations Research (Q1); Modeling and Simulation (Q1); Statistics and Probability (Q1)";"Computer Science; Decision Sciences; Mathematics; Social Sciences"
25;21100307484;"Journal of the Association for Information Science and Technology";journal;"23301643, 23301635";"John Wiley and Sons Ltd";No;No;1,245;Q1;174;102;323;7938;1749;315;5,67;77,82;39,07;2;20;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2014-2025";"Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1)";"Computer Science; Decision Sciences; Social Sciences"
26;145356;"Library Hi Tech News";journal;"07419058";"Emerald Group Publishing Ltd.";No;No;1,239;Q1;28;76;158;1346;1005;126;7,96;17,71;38,54;0;33;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1999-2025";"Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
27;21100836334;"Publications";journal;"23046775";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;1,165;Q1;30;49;155;2415;1051;148;3,14;49,29;36,62;0;8;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2013-2024";"Business and International Management (Q1); Communication (Q1); Computer Science Applications (Q1); Library and Information Sciences (Q1); Media Technology (Q1)";"Business, Management and Accounting; Computer Science; Engineering; Social Sciences"
28;24222;"Scientometrics";journal;"15882861, 01389130";"Akademiai Kiado";No;No;1,152;Q1;154;338;1092;18506;4977;996;3,89;54,75;37,82;9;62;Hungary;Eastern Europe;"Akademiai Kiado";"1978-2025";"Computer Science Applications (Q1); Library and Information Sciences (Q1); Social Sciences (miscellaneous) (Q1)";"Computer Science; Social Sciences"
29;144908;"Library Hi Tech";journal;"07378831";"Emerald Group Publishing Ltd.";No;No;1,150;Q1;55;144;244;9981;1815;228;7,68;69,31;40,98;0;46;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1983-2025";"Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
30;2600147402;"Ethics and Information Technology";journal;"13881957";"Springer Netherlands";No;No;1,107;Q1;79;68;206;4182;1235;202;5,43;61,50;36,97;1;20;Netherlands;Western Europe;"Springer Netherlands";"1999-2025";"Computer Science Applications (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
31;15386;"Online Information Review";journal;"14684527, 14684535";"Emerald Group Publishing Ltd.";No;No;1,025;Q1;78;101;216;6857;1229;214;5,42;67,89;42,21;0;23;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1980-1995, 1997, 1999-2025";"Computer Science Applications (Q1); Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
32;12791;"Journal of Academic Librarianship";journal;"00991333";"Elsevier B.V.";No;No;0,975;Q1;72;122;401;6719;1551;399;3,35;55,07;55,22;0;32;United Kingdom;Western Europe;"Elsevier B.V.";"1988-2025";"Education (Q1); Library and Information Sciences (Q1)";"Social Sciences"
33;15916;"Journal of Health Communication";journal;"10810730, 10870415";"Taylor and Francis Ltd.";No;No;0,975;Q1;113;86;264;4366;994;260;2,60;50,77;65,67;0;44;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1996-2025";"Communication (Q1); Health (social science) (Q1); Library and Information Sciences (Q1); Public Health, Environmental and Occupational Health (Q1)";"Medicine; Social Sciences"
34;19400158481;"Journal of Web Librarianship";journal;"19322909, 19322917";"Routledge";No;No;0,887;Q1;23;13;27;399;72;27;3,43;30,69;40,00;0;1;United States;Northern America;"Routledge";"2007-2025";"Library and Information Sciences (Q1); Computer Science Applications (Q2)";"Computer Science; Social Sciences"
