Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
72;16800154717;"IFLA Journal";journal;"03400352, 17452651";"SAGE Publications Ltd";No;No;0,546;Q1;29;86;150;3957;315;144;2,08;46,01;58,45;0;29;United Kingdom;Western Europe;"SAGE Publications Ltd";"1975-2025";"Library and Information Sciences (Q1)";"Social Sciences"
73;147225;"Computers in the Schools";journal;"07380569, 15287033";"Routledge";No;No;0,544;Q2;39;55;61;2966;144;59;2,49;53,93;53,52;0;23;United States;Northern America;"Routledge";"1984-1997, 1999, 2001-2025";"Computer Science (miscellaneous) (Q2); Education (Q2); Library and Information Sciences (Q2)";"Computer Science; Social Sciences"
74;21100895684;"Global Knowledge, Memory and Communication";journal;"25149350, 25149342";"Emerald Group Publishing Ltd.";No;No;0,543;Q2;42;293;229;19812;829;229;3,61;67,62;35,35;0;113;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2018-2025";"Library and Information Sciences (Q2)";"Social Sciences"
75;145600;"International Journal of Law and Information Technology";journal;"09670769, 14643693";"Oxford University Press";No;No;0,541;Q2;24;18;55;2861;141;55;2,52;158,94;52,38;0;10;United Kingdom;Western Europe;"Oxford University Press";"1993-2025";"Law (Q1); Library and Information Sciences (Q2)";"Social Sciences"
76;21100857955;"Data Technologies and Applications";journal;"25149288, 25149318";"Emerald Publishing";Yes;No;0,540;Q2;37;45;109;2065;368;109;2,78;45,89;37,29;0;9;United Kingdom;Western Europe;"Emerald Publishing";"2018-2025";"Information Systems (Q2); Library and Information Sciences (Q2)";"Computer Science; Social Sciences"
77;21100814051;"Information Discovery and Delivery";journal;"23986247";"Emerald Group Publishing Ltd.";No;No;0,540;Q2;27;60;95;3992;458;94;5,18;66,53;37,01;0;18;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2017-2025";"Computer Science (miscellaneous) (Q2); Library and Information Sciences (Q2)";"Computer Science; Social Sciences"
78;21100258853;"F1000Research";journal;"20461402";"F1000 Research Ltd";Yes;No;0,537;Q2;119;587;2030;25928;3390;2005;1,39;44,17;44,61;1;244;United Kingdom;Western Europe;"F1000 Research Ltd";"2012-2025";"Arts and Humanities (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Immunology and Microbiology (miscellaneous)  (Q2); Library and Information Sciences (Q2); Medicine (miscellaneous) (Q2); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q2)";"Arts and Humanities; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine; Pharmacology, Toxicology and Pharmaceutics; Social Sciences"
79;6400153106;"Information Development";journal;"17416469, 02666669";"SAGE Publications Ltd";No;No;0,536;Q2;43;161;246;10578;814;236;3,28;65,70;36,24;2;73;United Kingdom;Western Europe;"SAGE Publications Ltd";"1985-2025";"Library and Information Sciences (Q2)";"Social Sciences"
80;22315;"Personal and Ubiquitous Computing";journal;"16174909, 16174917";"Springer London";No;No;0,535;Q2;102;77;342;3602;1108;321;2,92;46,78;26,45;0;15;United Kingdom;Western Europe;"Springer London";"1997-2025";"Computer Science Applications (Q2); Hardware and Architecture (Q2); Library and Information Sciences (Q2); Management Science and Operations Research (Q2)";"Computer Science; Decision Sciences; Social Sciences"
81;21101133331;"Journal of Librarianship and Scholarly Communication";journal;"21623309";"Iowa State University Digital Press";Yes;Yes;0,524;Q2;7;17;44;586;47;44;1,24;34,47;72,22;1;2;United States;Northern America;"Iowa State University Digital Press";"2019-2025";"Communication (Q2); Library and Information Sciences (Q2)";"Social Sciences"
82;21101051215;"Scholarly Assessment Reports";journal;"26895870";"Levy Library Press";Yes;No;0,522;Q2;9;0;6;0;26;6;0,00;0,00;0,00;0;0;United States;Northern America;"Levy Library Press";"2019-2021";"Communication (Q2); Library and Information Sciences (Q2)";"Social Sciences"
83;21100888812;"Journal of Data and Information Science";journal;"2096157X";"De Gruyter Open Ltd";Yes;Yes;0,514;Q2;20;32;81;1502;177;77;1,90;46,94;38,71;1;3;Poland;Eastern Europe;"De Gruyter Open Ltd";"2016-2025";"Information Systems and Management (Q2); Library and Information Sciences (Q2); Public Administration (Q2)";"Decision Sciences; Social Sciences"
84;4700152770;"Cataloging and Classification Quarterly";journal;"01639374, 0898008X";"Routledge";No;No;0,502;Q2;30;27;127;508;131;115;0,90;18,81;59,09;0;1;United States;Northern America;"Routledge";"1981-2024";"Library and Information Sciences (Q2)";"Social Sciences"
85;21101086775;"Data and Information Management";journal;"25439251";"Elsevier Ltd";Yes;No;0,497;Q2;14;35;81;2178;233;75;3,24;62,23;37,93;1;6;United Kingdom;Western Europe;"Elsevier Ltd";"2017-2025";"Computer Science (miscellaneous) (Q2); Library and Information Sciences (Q2)";"Computer Science; Social Sciences"
86;145663;"Language Resources and Evaluation";journal;"1574020X";"Springer Netherlands";No;No;0,477;Q2;65;128;158;7025;666;156;4,08;54,88;36,15;1;14;Netherlands;Western Europe;"Springer Netherlands";"1996-2002, 2005-2025";"Linguistics and Language (Q1); Education (Q2); Library and Information Sciences (Q2)";"Social Sciences"
87;145200;"International Journal on Digital Libraries";journal;"14325012, 14321300";"Springer Verlag";No;No;0,473;Q2;39;51;67;2527;161;61;2,42;49,55;29,94;2;3;Germany;Western Europe;"Springer Verlag";"1997-1998, 2000, 2004-2010, 2012-2025";"Library and Information Sciences (Q2)";"Social Sciences"
88;21100242609;"Insights: the UKSG Journal";journal;"20487754";"United Kingdom Serials Group";Yes;Yes;0,470;Q2;19;17;68;488;82;68;1,03;28,71;53,13;0;3;United Kingdom;Western Europe;"United Kingdom Serials Group";"2012-2024";"Library and Information Sciences (Q2)";"Social Sciences"
89;21100801727;"Digital Library Perspectives";journal;"20595816, 20595824";"Emerald Publishing";No;No;0,454;Q2;28;45;106;1858;191;92;1,79;41,29;49,38;0;9;United Kingdom;Western Europe;"Emerald Publishing";"2016-2025";"Education (Q2); Information Systems (Q2); Library and Information Sciences (Q2)";"Computer Science; Social Sciences"
90;21101081523;"Journal of Library Science in China";journal;"10018867";"Editorial Office of Journal of Library Science in China";No;No;0,452;Q2;10;51;151;2099;167;151;1,11;41,16;41,28;0;17;China;Asiatic Region;"Editorial Office of Journal of Library Science in China";"2019-2024";"Library and Information Sciences (Q2)";"Social Sciences"
91;21101228213;"Discover Computing";journal;"29482992";"Springer Science and Business Media B.V.";Yes;No;0,449;Q2;66;53;48;2622;138;46;2,53;49,47;32,73;0;10;Netherlands;Western Europe;"Springer Science and Business Media B.V.";"2024-2025";"Information Systems (Q2); Library and Information Sciences (Q2)";"Computer Science; Social Sciences"
92;144644;"Library Management";journal;"01435124";"Emerald Group Publishing Ltd.";No;No;0,449;Q2;41;43;121;2063;223;118;1,87;47,98;45,95;0;18;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1979-2025";"Library and Information Sciences (Q2)";"Social Sciences"
93;4700152758;"Reference Librarian";journal;"02763877";"Routledge";No;No;0,434;Q2;27;7;36;247;48;34;1,81;35,29;64,29;0;0;United States;Northern America;"Routledge";"1982-2025";"Library and Information Sciences (Q2)";"Social Sciences"
94;16568;"Science and Technology Libraries";journal;"0194262X, 15411109";"Routledge";No;No;0,430;Q2;26;42;82;1701;225;82;2,93;40,50;36,99;0;11;United States;Northern America;"Routledge";"1980-2008, 2010-2025";"Library and Information Sciences (Q2)";"Social Sciences"
95;21100837856;"School Library Research";journal;"21651019";"American Association of School Librarians";No;No;0,419;Q2;19;4;14;198;21;14;0,83;49,50;100,00;0;2;United States;Northern America;"American Association of School Librarians";"2014-2024";"Library and Information Sciences (Q2); Media Technology (Q2)";"Engineering; Social Sciences"
96;15069;"World Patent Information";journal;"01722190";"Elsevier Ltd";No;No;0,418;Q2;40;45;114;2469;287;109;2,35;54,87;39,10;0;18;United Kingdom;Western Europe;"Elsevier Ltd";"1979-2025";"Library and Information Sciences (Q2); Bioengineering (Q3); Computer Science Applications (Q3); Energy Engineering and Power Technology (Q3); Fuel Technology (Q3); Process Chemistry and Technology (Q3); Renewable Energy, Sustainability and the Environment (Q3)";"Chemical Engineering; Computer Science; Energy; Social Sciences"
97;15420;"Electronic Library";journal;"02640473";"Emerald Group Publishing Ltd.";No;No;0,412;Q2;49;51;124;2599;299;121;2,67;50,96;42,68;0;10;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1983-2025";"Library and Information Sciences (Q2); Computer Science Applications (Q3)";"Computer Science; Social Sciences"
98;21101061989;"Data Intelligence";journal;"2641435X, 20967004";"Science Press";Yes;Yes;0,410;Q2;25;48;156;2129;359;138;2,31;44,35;33,53;1;7;United States;Northern America;"Science Press";"2019-2024";"Library and Information Sciences (Q2); Artificial Intelligence (Q3); Computer Science Applications (Q3); Information Systems (Q3)";"Computer Science; Social Sciences"
99;21100829944;"Journal of Education for Library and Information Science";journal;"07485786, 23282967";"University of Toronto Press";No;No;0,405;Q2;13;26;82;949;125;81;1,30;36,50;75,41;0;9;Canada;Northern America;"University of Toronto Press";"2017-2025";"Education (Q2); Library and Information Sciences (Q2)";"Social Sciences"
100;4700152789;"Collection Management";journal;"01462679, 15452549";"Routledge";No;No;0,403;Q2;21;14;69;380;50;63;0,85;27,14;57,89;0;3;United States;Northern America;"Routledge";"1976, 1978-1979, 1981-1999, 2001-2024";"Library and Information Sciences (Q2); Strategy and Management (Q3)";"Business, Management and Accounting; Social Sciences"
101;4700152802;"Journal of Business and Finance Librarianship";journal;"15470644, 08963568";"Routledge";No;No;0,396;Q2;21;17;58;529;78;58;1,54;31,12;52,00;0;4;United States;Northern America;"Routledge";"1990-1992, 1994, 1996-2025";"Library and Information Sciences (Q2); Management Information Systems (Q2); E-learning (Q3); Marketing (Q3)";"Business, Management and Accounting; Social Sciences"
102;4700152829;"Journal of Library and Information Services in Distance Learning";journal;"15332918, 1533290X";"Routledge";No;No;0,395;Q2;18;4;50;142;59;41;1,00;35,50;71,43;0;2;United States;Northern America;"Routledge";"2004-2007, 2009-2024";"Library and Information Sciences (Q2); E-learning (Q3)";"Social Sciences"
103;4700152782;"College and Undergraduate Libraries";journal;"10691316, 15452530";"Routledge";No;No;0,392;Q2;24;8;65;261;77;63;0,96;32,63;71,43;0;1;United States;Northern America;"Routledge";"1994-2004, 2006-2024";"Education (Q2); Library and Information Sciences (Q2); E-learning (Q3)";"Social Sciences"
104;21100857424;"SCIRES-IT";journal;"22394303";"Caspur -Ciber Publishing";Yes;Yes;0,389;Q2;13;43;82;1275;111;81;1,24;29,65;51,43;0;20;Italy;Western Europe;"Caspur -Ciber Publishing";"2016-2024";"Conservation (Q1); Library and Information Sciences (Q2); Computer Networks and Communications (Q3); Computer Science Applications (Q3); Information Systems (Q3)";"Arts and Humanities; Computer Science; Social Sciences"
105;4700152722;"Technical Services Quarterly";journal;"07317131";"Routledge";No;No;0,360;Q2;20;43;139;436;69;86;0,60;10,14;65,85;0;0;United States;Northern America;"Routledge";"1984-2025";"Library and Information Sciences (Q2); Computer Science Applications (Q3)";"Computer Science; Social Sciences"
106;17900156721;"Journal of Electronic Resources Librarianship";journal;"1941126X, 19411278";"Routledge";No;No;0,358;Q2;16;39;89;759;56;54;0,56;19,46;64,29;0;3;United States;Northern America;"Routledge";"2008-2025";"Library and Information Sciences (Q2); Information Systems (Q3)";"Computer Science; Social Sciences"
107;21101049621;"Open Information Science";journal;"24511781";"Walter de Gruyter GmbH";Yes;Yes;0,357;Q2;13;15;53;772;116;53;2,72;51,47;28,95;0;4;Germany;Western Europe;"Walter de Gruyter GmbH";"2017-2024";"Library and Information Sciences (Q2)";"Social Sciences"
108;19700170495;"LIBER Quarterly";journal;"14355205";"Igitur, Utrecht Publishing and Archiving Services";Yes;Yes;0,356;Q2;22;9;37;341;41;36;1,33;37,89;72,73;0;2;Netherlands;Western Europe;"Igitur, Utrecht Publishing and Archiving Services";"1999-2025";"Library and Information Sciences (Q2)";"Social Sciences"
109;21101201510;"Digital Transformation and Society";journal;"27550761, 2755077X";"Emerald Publishing";Yes;Yes;0,353;Q2;7;31;40;1565;95;31;2,38;50,48;28,81;0;13;United Kingdom;Western Europe;"Emerald Publishing";"2022-2025";"Library and Information Sciences (Q2); Computer Science Applications (Q3); Management of Technology and Innovation (Q3)";"Business, Management and Accounting; Computer Science; Social Sciences"
110;23776;"Archivaria";journal;"03186954";"Association of Canadian Archivists";No;No;0,347;Q2;33;13;37;194;51;35;0,85;14,92;68,97;0;3;Canada;Northern America;"Association of Canadian Archivists";"1980, 1989-1990, 1996-2024";"Library and Information Sciences (Q2)";"Social Sciences"
111;21100448566;"Journal of Information Technology Teaching Cases";journal;"20438869";"Springer International Publishing AG";No;No;0,331;Q2;13;88;92;1224;152;92;1,24;13,91;39,04;1;40;Switzerland;Western Europe;"Springer International Publishing AG";"2014-2025";"Library and Information Sciences (Q2); Education (Q3)";"Social Sciences"
112;21100264483;"Cuadernos.info";journal;"0719367X, 07193661";"Pontificia Universidad Catolica de Chile";Yes;Yes;0,328;Q2;18;49;137;2341;150;132;1,05;47,78;49,52;2;16;Chile;Latin America;"Pontificia Universidad Catolica de Chile";"2013-2025";"Communication (Q2); Library and Information Sciences (Q2)";"Social Sciences"
113;21101208908;"Open Praxis";journal;"2304070X, 13699997";"International Council for Open and Distance Education";Yes;Yes;0,322;Q2;14;48;86;2499;160;75;1,69;52,06;46,67;0;30;Norway;Western Europe;"International Council for Open and Distance Education";"2020-2024";"Library and Information Sciences (Q2); Education (Q3)";"Social Sciences"
114;145258;"Informing Science";journal;"15214672, 15479684";"Informing Science Institute";Yes;No;0,318;Q2;29;15;30;1049;84;30;3,64;69,93;55,00;0;3;United States;Northern America;"Informing Science Institute";"1997-2024";"Library and Information Sciences (Q2)";"Social Sciences"
115;4700152796;"Journal of Interlibrary Loan, Document Delivery and Electronic Reserve";journal;"1072303X, 15403572";"Routledge";No;No;0,318;Q2;15;0;13;0;21;13;0,00;0,00;0,00;0;0;United States;Northern America;"Routledge";"1994, 1996-1997, 2000, 2002-2003, 2005-2021";"Library and Information Sciences (Q2)";"Social Sciences"
116;29335;"Education for Information";journal;"18758649, 01678329";"SAGE Publications Ltd";No;No;0,317;Q2;23;16;77;665;82;73;0,93;41,56;50,00;0;8;Netherlands;Western Europe;"SAGE Publications Ltd";"1983-2024";"Library and Information Sciences (Q2); Education (Q3); Information Systems (Q3)";"Computer Science; Social Sciences"
117;21101180700;"Indian Journal of Information Sources and Services";journal;"22316094";"The Research Publication";No;No;0,309;Q2;12;97;51;2978;256;51;6,74;30,70;49,29;0;32;India;Asiatic Region;"The Research Publication";"2019-2024";"Library and Information Sciences (Q2)";"Social Sciences"
118;145510;"Libri";journal;"18658423, 00242667";"De Gruyter Saur";Yes;Yes;0,309;Q2;32;30;89;1691;121;89;1,38;56,37;49,25;0;11;Germany;Western Europe;"De Gruyter Saur";"1950, 1953-1956, 1958-2025";"Library and Information Sciences (Q2)";"Social Sciences"
119;12749;"International Information and Library Review";journal;"10959297, 10572317";"Taylor and Francis Ltd.";No;No;0,308;Q2;32;43;91;1762;103;90;1,24;40,98;40,70;0;12;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1992-2025";"Library and Information Sciences (Q2); E-learning (Q3)";"Social Sciences"
120;14239;"College and Research Libraries News";journal;"21506698, 00990086";"Association of College and Research Libraries";No;No;0,303;Q2;27;79;236;601;142;164;0,68;7,61;76,92;0;6;United States;Northern America;"Association of College and Research Libraries";"1987-1988, 1992, 1994-2025";"Library and Information Sciences (Q2); Education (Q3)";"Social Sciences"
121;21100778750;"Proceedings of the Association for Information Science and Technology";journal;"23739231";"John Wiley &amp; Sons Inc.";No;No;0,293;Q2;26;224;443;5472;537;441;1,04;24,43;54,01;0;53;United States;Northern America;"John Wiley &amp; Sons Inc.";"2015-2025";"Library and Information Sciences (Q2); Computer Science (miscellaneous) (Q3)";"Computer Science; Social Sciences"
122;21101048046;"Information and Culture";journal;"21663033, 21648034";"University of Texas Press";No;No;0,291;Q2;16;12;42;981;45;42;1,00;81,75;64,71;0;6;United States;Northern America;"University of Texas Press";"2012-2024";"Conservation (Q1); History (Q1); Library and Information Sciences (Q2)";"Arts and Humanities; Social Sciences"
123;21100199774;"Evidence Based Library and Information Practice";journal;"1715720X";"University of Alberta";Yes;Yes;0,282;Q2;21;50;156;936;93;145;0,55;18,72;65,33;0;12;Canada;Northern America;"University of Alberta";"2011-2024";"Library and Information Sciences (Q2)";"Social Sciences"
124;14115;"Canadian Journal of Information and Library Science";journal;"19207239, 1195096X";"Canadian Association for Information Science";No;No;0,281;Q2;22;0;22;0;31;21;2,00;0,00;0,00;0;0;Canada;Northern America;"Canadian Association for Information Science";"1993-2022";"Library and Information Sciences (Q2); Information Systems (Q3)";"Computer Science; Social Sciences"
125;25547;"Interacting with Computers";journal;"18737951, 09535438";"Oxford University Press";No;No;0,280;Q2;97;30;110;1788;186;108;1,36;59,60;41,24;0;5;United Kingdom;Western Europe;"Oxford University Press";"1989-2024";"Library and Information Sciences (Q2); Software (Q3); Human-Computer Interaction (Q4)";"Computer Science; Social Sciences"
126;12690;"Information Research";journal;"13681613";"University of Boras";Yes;Yes;0,277;Q2;59;61;166;2907;166;161;0,98;47,66;58,52;3;13;Sweden;Western Europe;"University of Boras";"1996-2025";"Library and Information Sciences (Q2)";"Social Sciences"
127;21100836108;"Knowledge Cultures";journal;"23756527, 23275731";"Addleton Academic Publishers";No;No;0,275;Q2;17;32;74;1484;69;72;1,06;46,38;67,31;0;9;United States;Northern America;"Addleton Academic Publishers";"2013-2024";"Cultural Studies (Q1); History (Q1); Literature and Literary Theory (Q1); Law (Q2); Library and Information Sciences (Q2); Philosophy (Q2); Sociology and Political Science (Q2); Education (Q3)";"Arts and Humanities; Social Sciences"
128;4700152763;"Public Services Quarterly";journal;"15229114, 15228959";"Routledge";No;No;0,275;Q2;19;32;94;362;67;89;0,78;11,31;84,62;0;6;United States;Northern America;"Routledge";"2002-2003, 2006-2025";"Library and Information Sciences (Q2); Accounting (Q3); Public Administration (Q3)";"Business, Management and Accounting; Social Sciences"
129;16610;"Serials Librarian";journal;"15411095, 0361526X";"Routledge";No;No;0,275;Q2;20;18;136;361;87;124;0,72;20,06;70,00;0;5;United States;Northern America;"Routledge";"1977-2024";"Library and Information Sciences (Q2)";"Social Sciences"
130;21100212132;"DESIDOC Journal of Library and Information Technology";journal;"09740643, 09764658";"Defence Scientific Information and Documentation Centre";No;No;0,274;Q2;21;41;161;1130;183;157;1,06;27,56;33,85;0;10;India;Asiatic Region;"Defence Scientific Information and Documentation Centre";"2012-2024";"Library and Information Sciences (Q2)";"Social Sciences"
131;144979;"Records Management Journal";journal;"09565698";"Emerald Group Publishing Ltd.";No;No;0,274;Q2;27;18;41;735;65;40;1,52;40,83;80,00;0;10;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1989-1991, 1994-2025";"Library and Information Sciences (Q2); Management Information Systems (Q3)";"Business, Management and Accounting; Social Sciences"
132;13360;"Knowledge Organization";journal;"09437444";"International Society for Knowledge Organization";No;No;0,273;Q2;36;43;105;2329;82;101;0,61;54,16;50,00;0;11;Germany;Western Europe;"International Society for Knowledge Organization";"1993-2024";"Library and Information Sciences (Q2)";"Social Sciences"
133;144673;"Performance Measurement and Metrics";journal;"14678047";"Emerald Group Publishing Ltd.";No;No;0,272;Q2;27;18;30;610;53;30;1,44;33,89;47,62;0;1;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2000-2025";"Literature and Literary Theory (Q1); Library and Information Sciences (Q2)";"Arts and Humanities; Social Sciences"
134;21100898016;"Digital Humanities Quarterly";journal;"19384122";"Alliance of Digital Humanities Organisations";Yes;Yes;0,270;Q2;13;29;211;959;201;204;0,82;33,07;46,34;0;4;United States;Northern America;"Alliance of Digital Humanities Organisations";"2018-2024";"Arts and Humanities (miscellaneous) (Q2); Library and Information Sciences (Q2); Communication (Q3); Computer Networks and Communications (Q3)";"Arts and Humanities; Computer Science; Social Sciences"
135;21101048513;"Manuscript and Book Heritage of Ukraine";journal;"22224203";"Vernadsky National Library of Ukraine";Yes;Yes;0,270;Q2;3;47;103;1166;18;103;0,17;24,81;66,67;0;6;Ukraine;Eastern Europe;"Vernadsky National Library of Ukraine";"2020-2024";"History (Q1); Library and Information Sciences (Q2)";"Arts and Humanities; Social Sciences"
136;21101076301;"University Library at a New Stage of Social Communications Development. Conference Proceedings";conference and proceedings;"27070476";"Dnipro National University of Railway Transport named after Academician V. Lazaryan";Yes;No;0,267;-;4;34;75;562;43;71;0,68;16,53;68,09;0;5;Ukraine;Eastern Europe;"Dnipro National University of Railway Transport named after Academician V. Lazaryan";"2019-2024";"Library and Information Sciences";"Social Sciences"
137;21100887535;"Collection and Curation";journal;"25149326";"Emerald Group Publishing Ltd.";Yes;No;0,266;Q2;22;19;47;820;56;47;1,33;43,16;36,36;0;10;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2018-2025";"Museology (Q1); Library and Information Sciences (Q2)";"Arts and Humanities; Social Sciences"
138;5600155499;"Canadian Journal of Program Evaluation";journal;"08341516";"Canadian Journal of Program Evaluation";No;No;0,263;Q2;23;0;115;0;53;91;0,29;0,00;0,00;0;0;Canada;Northern America;"Canadian Journal of Program Evaluation";"1996, 2000-2001, 2003, 2005-2010, 2012-2023";"Library and Information Sciences (Q2)";"Social Sciences"
139;19470;"Information Resources Management Journal";journal;"15337979, 10401628";"IGI Publishing";No;No;0,263;Q2;47;11;52;406;101;52;1,66;36,91;55,00;0;5;United States;Northern America;"IGI Publishing";"1988-2025";"Library and Information Sciences (Q2); Business and International Management (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Social Sciences"
140;19400156823;"Issues in Science and Technology Librarianship";journal;"10921206";"Association of College and Research Libraries";Yes;Yes;0,261;Q2;23;16;48;528;52;43;1,80;33,00;87,88;0;7;United States;Northern America;"Association of College and Research Libraries";"1996-2024";"Library and Information Sciences (Q2); Engineering (miscellaneous) (Q3)";"Engineering; Social Sciences"
141;21100815354;"JLIS.it";journal;"20381026, 20385366";"Universita di Firenze, Dipartimento di Storia, Archeologia, Geografia, Arte e Spettacolo";Yes;Yes;0,260;Q2;10;30;141;783;59;137;0,45;26,10;52,38;0;4;Italy;Western Europe;"Universita di Firenze, Dipartimento di Storia, Archeologia, Geografia, Arte e Spettacolo";"2017-2025";"Conservation (Q2); Library and Information Sciences (Q2); Computer Science Applications (Q3)";"Arts and Humanities; Computer Science; Social Sciences"
142;12492;"Journal of Information Science and Engineering";journal;"10162364";"Institute of Information Science";No;No;0,256;Q2;43;82;242;2155;269;241;1,27;26,28;34,38;0;17;Taiwan;Asiatic Region;"Institute of Information Science";"1993-1994, 1996-2025";"Library and Information Sciences (Q2); Computational Theory and Mathematics (Q3); Hardware and Architecture (Q3); Human-Computer Interaction (Q4); Software (Q4)";"Computer Science; Social Sciences"
143;21101039230;"International Journal of Information, Diversity and Inclusion";journal;"25743430";"University of Hawaii at Manoa";Yes;Yes;0,255;Q2;9;17;69;922;73;66;0,83;54,24;70,59;0;11;United States;Northern America;"University of Hawaii at Manoa";"2019-2024";"Library and Information Sciences (Q2); Social Sciences (miscellaneous) (Q3)";"Social Sciences"
144;21101079120;"Polish Libraries";journal;"23531835, 23009217";"National Library of Poland";No;No;0,250;Q2;1;9;18;304;2;18;0,11;33,78;63,64;0;1;Poland;Eastern Europe;"National Library of Poland";"2019-2021, 2023";"History (Q1); Museology (Q1); Arts and Humanities (miscellaneous) (Q2); Library and Information Sciences (Q2)";"Arts and Humanities; Social Sciences"
145;27984;"Fukushima Journal of Medical Sciences";journal;"00162590, 21854610";"Fukushima Society of Medical Science";No;No;0,249;Q2;22;27;74;839;58;74;0,96;31,07;20,45;0;7;Japan;Asiatic Region;"Fukushima Society of Medical Science";"1964-2025";"Anthropology (Q2); Library and Information Sciences (Q2); Dentistry (miscellaneous) (Q3); Mathematics (miscellaneous) (Q3); Medicine (miscellaneous) (Q3); Pharmaceutical Science (Q3)";"Dentistry; Mathematics; Medicine; Pharmacology, Toxicology and Pharmaceutics; Social Sciences"
146;21100945165;"Acta Informatica Pragensia";journal;"18054951";"Prague University of Economics and Business";Yes;Yes;0,247;Q2;9;25;76;1159;139;72;1,85;46,36;20,83;0;8;Czech Republic;Eastern Europe;"Prague University of Economics and Business";"2019-2024";"Library and Information Sciences (Q2); Information Systems (Q3); Management Information Systems (Q3); Computer Science Applications (Q4)";"Business, Management and Accounting; Computer Science; Social Sciences"
147;21100201051;"Annals of Library and Information Studies";journal;"09725423, 09752404";"National Institute of Science Communication and Information Resources (NISCAIR)";Yes;Yes;0,244;Q3;18;9;80;285;53;77;0,76;31,67;72,73;0;0;India;Asiatic Region;"National Institute of Science Communication and Information Resources (NISCAIR)";"2011-2024";"Library and Information Sciences (Q3); Computer Science Applications (Q4)";"Computer Science; Social Sciences"
148;21100901947;"Digital Presentation and Preservation of Cultural and Scientific Heritage";conference and proceedings;"25350366, 13144006";"Bulgarian Academy of Sciences, Institute of Mathematics and Informatics";Yes;No;0,243;-;9;35;110;437;60;105;0,54;12,49;46,99;0;14;Bulgaria;Eastern Europe;"Bulgarian Academy of Sciences, Institute of Mathematics and Informatics";"2014, 2017-2024";"Computer Science Applications; Information Systems; Library and Information Sciences; Museology";"Arts and Humanities; Computer Science; Social Sciences"
149;21100255068;"Masaryk University Journal of Law and Technology";journal;"18025951, 18025943";"Faculty of Law, Masaryk University";Yes;No;0,241;Q3;8;8;31;559;23;31;0,89;69,88;20,00;0;2;Czech Republic;Eastern Europe;"Faculty of Law, Masaryk University";"2013-2024";"Law (Q2); Library and Information Sciences (Q3); Computer Science Applications (Q4)";"Computer Science; Social Sciences"
150;21100908544;"Global Intellectual History";journal;"23801883, 23801891";"Taylor and Francis Ltd.";No;No;0,240;Q3;8;42;183;2718;67;171;0,29;64,71;34,21;1;9;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2016-2025";"History (Q1); Arts and Humanities (miscellaneous) (Q2); Cultural Studies (Q2); Library and Information Sciences (Q3)";"Arts and Humanities; Social Sciences"
151;21100983214;"Journal of Scientometric Research";journal;"23200057, 23216654";"Phcog.Net";No;No;0,240;Q3;12;80;173;3979;207;173;1,14;49,74;36,89;0;37;India;Asiatic Region;"Phcog.Net";"2019-2024";"Information Systems (Q3); Library and Information Sciences (Q3); Computer Science Applications (Q4)";"Computer Science; Social Sciences"
152;21101060465;"Umanistica Digitale";journal;"25328816";"University of Bologna Department of Classical and Italian Philology, Alma Mater Studiorum";Yes;Yes;0,240;Q3;6;17;87;847;36;87;0,29;49,82;60,61;0;1;Italy;Western Europe;"University of Bologna Department of Classical and Italian Philology, Alma Mater Studiorum";"2017-2024";"Arts and Humanities (miscellaneous) (Q2); Linguistics and Language (Q2); Computer Science (miscellaneous) (Q3); Library and Information Sciences (Q3); Computer Science Applications (Q4)";"Arts and Humanities; Computer Science; Social Sciences"
153;21100241768;"Preservation, Digital Technology and Culture";journal;"21952965, 21952957";"De Gruyter Saur";No;No;0,237;Q3;12;27;49;1055;47;39;0,92;39,07;48,84;0;10;Germany;Western Europe;"De Gruyter Saur";"2013-2025";"Conservation (Q2); Library and Information Sciences (Q3); Computer Science Applications (Q4)";"Arts and Humanities; Computer Science; Social Sciences"
